,0.6
1,0.038
0.975,
0.95,-0.092
0.9,-0.284
0.85,-0.375
0.8,-0.4
0.75,-0.405
0.7,-0.419
0.65,-0.42
0.6,-0.43
0.55,-0.44
0.5,-0.441
0.45,-0.443
0.4,-0.452
0.35,-0.472
0.3,-0.499
0.25,-0.546
0.2,-0.619
0.15,-0.687
0.1,-0.802
0.05,-1.168
0.025,-1.601
0.015,-1.507
0.005,-1.324
0,1.069
0,
0.005,0.447
0.015,
0.025,
0.05,0.051
0.1,-0.104
0.15,-0.082
0.2,-0.11
0.25,-0.12
0.3,-0.105
0.35,-0.107
0.4,-0.128
0.45,-0.145
0.5,-0.148
0.55,-0.137
0.6,-0.056
0.65,0.119
0.7,0.249
0.75,0.332
0.8,0.378
0.85,0.413
0.9,0.441
0.95,0.426
0.975,0.384
1,
