,0.83
1,0.13
0.975,
0.95,0.054
0.9,-0.096
0.85,-0.211
0.8,-0.246
0.75,-0.26
0.7,-0.436
0.65,-0.781
0.6,-0.778
0.55,-0.754
0.5,-0.688
0.45,-0.74
0.4,-0.761
0.35,
0.3,-0.779
0.25,-0.772
0.2,
0.15,-0.808
0.1,-0.814
0.05,-0.849
0.025,-0.741
0.015,-0.636
0.005,-0.219
0,-0.069
0,
0.005,0.253
0.015,
0.025,
0.05,-0.08
0.1,-0.339
0.15,-0.256
0.2,-0.233
0.25,-0.231
0.3,-0.181
0.35,-0.175
0.4,-0.195
0.45,-0.219
0.5,-0.198
0.55,-0.15
0.6,-0.003
0.65,0.201
0.7,0.297
0.75,0.349
0.8,0.38
0.85,0.418
0.9,0.443
0.95,0.47
0.975,0.448
1,
