,0.22
1,0.135478898
0.985513515,0.106957024
0.965022162,0.083081733
0.945295247,0.035659479
0.924808177,0.007051955
0.905839989,-0.035638066
0.886872515,-0.078342362
0.865628859,-0.116357251
0.843627189,-0.149697009
0.814794116,-0.216105294
0.784446443,-0.268431083
0.754857498,-0.344218182
0.725268552,-0.405922785
0.69567818,-0.486427842
0.664571779,-0.562257767
0.635740848,-0.647523608
0.605392461,-0.728028665
0.584149519,-0.780154601
0.563663876,-0.851109541
0.546213143,-0.917332248
0.527246383,-0.978865549
0.506761454,-1.045059706
0.48551637,-1.115986096
0.465789455,-1.205755765
0.445303812,-1.286103795
0.425574042,-1.352326503
0.384588481,-1.508290329
0.366355467,-1.61212822
0.344335239,-1.753666945
0.324594762,-1.782260194
0.304843579,-1.815557126
0.2843301,-1.848839782
0.264586768,-1.858646853
0.244845578,-1.87311478
0.225863829,-1.897032897
0.203842887,-1.902079185
0.171956346,-1.921493473
0.141590116,-1.917375074
0.112739913,-1.908524443
0.088439933,-1.9090098
0.064143523,-1.876498005
0.045913364,-1.872165478
0.03145186,-1.881858347
0.013928324,-1.95268481
0.007065516,-1.985753339
0,-0.405430291
0,0.850538532
0.006880652,0.98705952
0.011496542,0.949729842
0.028985818,0.813594284
0.043399499,0.621157291
0.063868011,0.433466807
0.08964262,0.274055516
0.116932542,0.124094416
0.14573992,-0.011741362
0.176066894,-0.12873386
0.206396009,-0.175456628
0.22459619,-0.212714931
0.244313112,-0.259366323
0.263272735,-0.277852723
0.282991799,-0.300985703
0.303472445,-0.323747529
0.345949766,-0.309222501
0.366432553,-0.318244434
0.385400027,-0.303747957
0.40588567,-0.255954548
0.446856955,-0.217953934
0.464309115,-0.17998187
0.485557054,-0.104294697
0.506802852,-0.056900994
0.526533336,0.037957788
0.567521752,0.094744581
0.585739777,0.146856241
0.606991285,0.217982484
0.63734895,0.270265448
0.666187733,0.34139169
0.696546826,0.398435437
0.72614505,0.45074695
0.757261443,0.484200909
0.787616254,0.508304604
0.81645004,0.522958109
0.845283113,0.528032947
0.865007887,0.509646474
0.886248688,0.495878033
0.905214021,0.472702226
0.925690385,0.440176156
0.943132552,0.393496214
0.965117806,0.285696952
0.983298002,
