,0.03
0.9500,-0.2232
0.9000,-0.2312
0.8500,-0.2276
0.8000,-0.2415
0.7500,-0.2597
0.7000,-0.2755
0.6500,-0.3123
0.6000,-0.3698
0.5500,-0.4425
0.5000,-0.5305
0.4500,-0.6455
0.4000,-0.7658
0.3500,-0.9152
0.3000,-1.0343
0.2500,-1.1553
0.2000,-1.2726
0.1500,-1.3856
0.1000,-1.6558
0.0750,-2.4325
0.0600,-3.1216
0.0500,-3.1497
0.0400,-3.0949
0.0300,-3.0998
0.0250,-3.1038
0.0200,-3.0967
0.0150,-3.1386
0.0100,-3.1176
0.0050,-3.2289
0.0000,-3.3828
0.0000,-3.3828
0.0050,0.5682
0.0100,0.9283
0.0150,0.9946
0.0200,0.9904
0.0250,0.9833
0.0310,0.9572
0.0400,0.8996
0.0500,0.8498
0.0600,0.8080
0.0750,0.7476
0.1000,0.6731
0.1500,0.5642
0.2000,0.4963
0.2500,0.4550
0.3000,0.4220
0.3500,0.3846
0.4000,0.3609
0.4500,0.3386
0.5050,0.3102
0.5500,0.2861
0.6000,0.2699
0.6500,0.2440
0.7000,0.2249
0.7500,0.1989
0.8000,0.1689
0.8500,0.1412
0.9000,0.0946
0.9500,0.0330
