,0.13
0.9500,-0.5096
0.9000,-0.4916
0.8500,-0.4925
0.8000,-0.4944
0.7500,-0.5088
0.7000,-0.5140
0.6500,-0.4886
0.6000,-0.4955
0.5500,-0.5002
0.5000,-0.5021
0.4500,-0.5183
0.4000,-0.6171
0.3500,-0.7408
0.3000,-0.8832
0.2500,-1.0519
0.2000,-1.2336
0.1500,-1.4886
0.1000,-1.8136
0.0750,-2.0442
0.0600,-2.2229
0.0500,-2.3698
0.0400,-2.5964
0.0300,-2.8276
0.0250,-3.0247
0.0200,-3.0876
0.0150,-3.2008
0.0100,-4.0139
0.0050,-5.5624
0.0000,-5.6262
0.0000,-5.6262
0.0050,0.3232
0.0100,0.8516
0.0150,0.9597
0.0200,0.9817
0.0250,0.9803
0.0310,0.9694
0.0400,0.9294
0.0500,0.8849
0.0600,0.8428
0.0750,0.7876
0.1000,0.7109
0.1500,0.6076
0.2000,0.5371
0.2500,0.4816
0.3000,0.4387
0.3500,0.4023
0.4000,0.3722
0.4500,0.3428
0.5050,0.3109
0.5500,0.2866
0.6000,0.2574
0.6500,0.2300
0.7000,0.1984
0.7500,0.1634
0.8000,0.1267
0.8500,0.0804
0.9000,0.0203
0.9500,-0.0677
