,0.05,,,,,,,
0.9500,-0.1740,,,,,,,
0.9000,-0.2356,,,,,,,
0.8500,-0.3977,,,,,,,
0.8000,-0.4717,,,,,,,-
0.7500,-0.5079,,,,,,,
0.7000,-0.4992,,,,,,,
0.6500,-0.4939,,,,,,,
0.6000,-0.4954,,,,,,,
0.5500,-0.4994,,,,,,,
0.5000,-0.5037,,,,,,,
0.4500,-0.5044,,,,,,,
0.4000,-0.5369,,,,,,,
0.3500,-0.5762,,,,,,,
0.3000,-0.6523,,,,,,,
0.2500,-0.7055,,,,,,,
0.2000,-0.7461,,,,,,,
0.1500,-0.7646,,,,,,,
0.1000,-0.7873,,,,,,,
0.0750,-0.7849,,,,,,,
0.0600,-0.7707,,,,,,,
0.0500,-0.7517,,,,,,,
0.0400,-0.7257,,,,,,,
0.0300,-0.6917,,,,,,,
0.0250,-0.6647,,,,,,,
0.0200,-0.6163,,,,,,,
0.0150,-0.5457,,,,,,,
0.0100,-0.4480,,,,,,,
0.0050,-0.2028,,,,,,,
0.0000,0.8334,,,,,,,
0.0000,0.8334,,,,,,,
0.0050,0.8025,,,,,,,
0.0100,0.6029,,,,,,,
0.0150,0.4873,,,,,,,
0.0200,0.4255,,,,,,,
0.0250,0.3794,,,,,,,
0.0310,0.3423,,,,,,,
0.0400,0.2936,,,,,,,
0.0500,0.2594,,,,,,,
0.0600,0.2397,,,,,,,
0.0750,0.2138,,,,,,,
0.1000,0.1960,,,,,,,
0.1500,0.1723,,,,,,,
0.2000,0.1616,,,,,,,
0.2500,0.1673,,,,,,,
0.3000,0.1624,,,,,,,
0.3500,0.1637,,,,,,,
0.4000,0.1610,,,,,,,
0.4500,0.1589,,,,,,,
0.5050,0.1568,,,,,,,
0.5500,0.1602,,,,,,,
0.6000,0.1574,,,,,,,
0.6500,0.1571,,,,,,,
0.7000,0.1498,,,,,,,
0.7500,0.1461,,,,,,,
0.8000,0.1120,,,,,,,
0.8500,0.1191,,,,,,,
0.9000,0.1106,,,,,,,
0.9500,0.0712,,,,,,,
