,0.03
0.9500,0.0161
0.9000,-0.0504
0.8500,-0.1102
0.8000,-0.1660
0.7500,-0.2400
0.7000,-0.3038
0.6500,-0.3737
0.6000,-0.4419
0.5500,-0.5369
0.5000,-0.8777
0.4500,-1.0019
0.4000,-1.0290
0.3500,-1.0677
0.3000,-1.1250
0.2500,-1.2073
0.2000,-1.2709
0.1500,-1.3846
0.1000,-1.5524
0.0750,-1.6479
0.0600,-1.7426
0.0500,-1.8060
0.0400,-1.9055
0.0300,-2.0097
0.0250,-2.0934
0.0200,-2.1880
0.0150,-2.2782
0.0100,-2.4148
0.0050,-2.6829
0.0000,-1.7644
0.0000,-1.7644
0.0050,0.9185
0.0100,1.0026
0.0150,0.9650
0.0200,0.9250
0.0250,0.8863
0.0310,0.8342
0.0400,0.7639
0.0500,0.6916
0.0600,0.6556
0.0750,0.5938
0.1000,0.5389
0.1500,0.4473
0.2000,0.4036
0.2500,0.3736
0.3000,0.3479
0.3500,0.3237
0.4000,0.3170
0.4500,0.3044
0.5050,0.2923
0.5500,0.2693
0.6000,0.2676
0.6500,0.2562
0.7000,0.2437
0.7500,0.2293
0.8000,0.2155
0.8500,0.2066
0.9000,0.1906
0.9500,0.1715
