,0.08
0.9500,0.0776
0.9000,0.0196
0.8500,-0.2304
0.8000,-0.3454
0.7500,-0.3448
0.7000,-0.3383
0.6500,-0.3403
0.6000,-0.3539
0.5500,-0.3737
0.5000,-0.4122
0.4500,-0.4598
0.4000,-0.5162
0.3500,-0.5510
0.3000,-0.5502
0.2500,-0.5358
0.2000,-0.5016
0.1500,-0.4500
0.1000,-0.3555
0.0750,-0.2826
0.0600,-0.2135
0.0500,-0.1429
0.0400,-0.0547
0.0300,0.0490
0.0250,0.1234
0.0200,0.2137
0.0150,0.3506
0.0100,0.4933
0.0050,0.7639
0.0000,0.8095
0.0000,0.8095
0.0050,-0.4406
0.0100,-0.4248
0.0150,-0.3966
0.0200,-0.3777
0.0250,-0.3517
0.0310,-0.3319
0.0400,-0.2939
0.0500,-0.2684
0.0600,-0.2426
0.0750,-0.2070
0.1000,-0.1570
0.1500,-0.1010
0.2000,-0.0630
0.2500,-0.0337
0.3000,0.0008
0.3500,0.0163
0.4000,0.0381
0.4500,0.0515
0.5050,0.0592
0.5500,0.0667
0.6000,0.0885
0.6500,0.1019
0.7000,0.1002
0.7500,0.0957
0.8000,0.1101
0.8500,0.1185
0.9000,0.1290
0.9500,0.1195
