,0.13
0.9500,0.0557
0.9000,0.0043
0.8500,-0.0355
0.8000,-0.0641
0.7500,-0.0935
0.7000,-0.1841
0.6500,-0.2861
0.6000,-0.3116
0.5500,-0.3460
0.5000,-0.3952
0.4500,-0.4427
0.4000,-0.4803
0.3500,-0.4961
0.3000,-0.4765
0.2500,-0.4359
0.2000,-0.3818
0.1500,-0.3042
0.1000,-0.1806
0.0750,-0.0752
0.0600,0.0144
0.0500,0.0949
0.0400,0.1959
0.0300,0.3201
0.0250,0.4020
0.0200,0.5001
0.0150,0.6284
0.0100,0.7689
0.0050,0.9618
0.0000,0.1641
0.0000,0.1641
0.0050,-1.2691
0.0100,-1.0964
0.0150,-0.9732
0.0200,-0.8853
0.0250,-0.8048
0.0310,-0.7684
0.0400,-0.6894
0.0500,-0.6254
0.0600,-0.5666
0.0750,-0.3870
0.1000,-0.3185
0.1500,-0.2310
0.2000,-0.1707
0.2500,-0.1216
0.3000,-0.0840
0.3500,-0.0556
0.4000,-0.0269
0.4500,-0.0038
0.5050,0.0133
0.5500,0.0286
0.6000,0.0421
0.6500,0.0596
0.7000,0.0695
0.7500,0.0791
0.8000,0.0951
0.8500,0.1031
0.9000,0.1166
0.9500,0.1268
