,0.09
0.9500,-0.4483
0.9000,-0.4457
0.8500,-0.4417
0.8000,-0.4453
0.7500,-0.4374
0.7000,-0.4288
0.6500,-0.4325
0.6000,-0.4310
0.5500,-0.4285
0.5000,-0.4378
0.4500,-0.4725
0.4000,-0.5417
0.3500,-0.6669
0.3000,-0.8463
0.2500,-1.0252
0.2000,-1.2013
0.1500,-1.4424
0.1000,-1.7625
0.0750,-1.9885
0.0600,-2.1664
0.0500,-2.2887
0.0400,-2.4023
0.0300,-2.5849
0.0250,-2.8417
0.0200,-2.8430
0.0150,-4.2506
0.0100,-4.8652
0.0050,-4.9811
0.0000,-5.2110
0.0000,-5.2110
0.0500,0.3345
0.0100,0.8652
0.0150,0.9832
0.0200,1.0027
0.0250,1.0000
0.0310,0.9915
0.0400,0.9452
0.0500,0.8924
0.0600,0.8490
0.0750,0.7900
0.1000,0.7140
0.1500,0.6007
0.2000,0.5316
0.2500,0.4796
0.3000,0.4367
0.3500,0.4005
0.4000,0.3657
0.4500,0.3336
0.5050,0.3066
0.5500,0.2802
0.6000,0.2513
0.6500,0.2227
0.7000,0.1931
0.7500,0.1595
0.8000,0.1236
0.8500,0.0782
0.9000,0.0199
0.9500,-0.0653
