,0.15
0.998125586,0.075471698
0.900656045,-0.018867925
0.85004686,-0.075471698
0.805998126,-0.141509434
0.760074977,-0.198113208
0.716026242,-0.264150943
0.6710403,-0.339622642
0.631677601,-0.424528302
0.591377694,-0.5
0.550140581,-0.613207547
0.512652296,-0.70754717
0.477975633,-0.801886792
0.444236176,-0.886792453
0.408622306,-0.990566038
0.378631678,-1.103773585
0.346766635,-1.235849057
0.288659794,-1.424528302
0.166822868,-1.801886792
0.147141518,-1.867924528
0.127460169,-1.905660377
0.108716026,-1.943396226
0.092783505,-1.971698113
0.077788191,-2.009433962
0.063730084,-1.990566038
0.051546392,-1.943396226
0.042174321,-1.867924528
0.032802249,-1.726415094
0.024367385,-1.622641509
0.008434864,-1.386792453
0.004686036,-1.188679245
0.002811621,-1
0.000937207,-0.679245283
0,-0.377358491
0.000937207,-0.037735849
0.001874414,0.41509434
0.005623243,0.839622642
0.016869728,0.962264151
0.044985942,0.79245283
0.067478913,0.613207547
0.119962512,0.301886792
0.150890347,0.141509434
0.189315839,0
0.225866917,-0.113207547
0.269915651,-0.216981132
0.3158388,-0.254716981
0.370196813,-0.283018868
0.422680412,-0.245283019
0.479850047,-0.150943396
0.543580131,0.018867925
0.611059044,0.188679245
0.681349578,0.311320755
0.755388941,0.396226415
0.833177132,0.424528302
0.912839738,0.377358491
