,0.85
1,-0.387
0.928,-0.474
0.848,-0.496
0.8,-0.506
0.72,-0.516
0.649,-0.534
0.599,-0.702
0.549,-0.99
0.498,-1.011
0.45,-0.973
0.4,-0.932
0.35,-0.903
0.299,-0.874
0.25,-0.859
0.2,-0.854
0.15,-0.808
0.101,-0.799
0.075,-0.775
0.051,-0.773
0.031,-0.689
0.02,-0.56
0.015,-0.508
0.011,-0.242
0.007,0.09
0.004,0.433
0.0004,1.054
0,1.192
0.001,0.966
0.003,0.547
0.005,0.565
0.011,0.433
0.019,0.372
0.05,0.347
0.1,0.269
0.147,0.18
0.199,0.098
0.299,-0.053
0.4,-0.159
0.499,-0.21
0.599,-0.062
0.729,0.041
0.868,0.037
0.948,-0.025
