,0.7,0.8
1,0.083,-0.341
0.928,0.042,-0.474
0.848,-0.064,-0.55
0.8,-0.13,-0.568
0.72,-0.275,-0.58
0.649,-0.382,-0.596
0.599,-0.437,-0.592
0.549,-0.448,-0.611
0.496,-0.482,-0.644
0.45,-0.712,-0.767
0.4,-0.902,-1.102
0.35,-1.606,-1.129
0.299,-1.631,-1.105
0.25,-1.637,-1.101
0.2,-1.672,-1.105
0.15,-1.673,-1.069
0.101,-1.719,-1.077
0.075,-1.731,-1.053
0.051,-1.792,-1.07
0.031,-1.744,-1.015
0.02,-1.669,-0.928
0.015,-1.595,-0.853
0.011,-1.289,-0.558
0.007,-0.888,-0.193
0.004,-0.421,0.186
0.0004,0.466,0.903
0,0.957,1.166
0.001,1.127,1.074
0.003,1.022,0.766
0.005,0.958,0.749
0.011,0.789,0.58
0.019,0.688,0.499
0.05,0.55,0.427
0.1,0.425,0.328
0.147,0.328,0.235
0.199,0.246,0.152
0.299,0.12,0.01
0.4,0.048,-0.079
0.499,0.008,-0.126
0.599,0.094,-0.016
0.729,0.166,0.067
0.868,0.189,0.057
0.948,0.195,-0.009
