,0.75
1,0.143
0.928,0.083
0.848,0
0.8,-0.06
0.72,-0.334
0.649,-0.476
0.599,-0.507
0.549,-0.537
0.498,-0.568
0.45,-0.593
0.4,-0.612
0.35,-0.623
0.299,-0.633
0.25,-0.65
0.2,-0.659
0.15,-0.657
0.101,-0.645
0.075,-0.633
0.051,-0.652
0.031,-0.55
0.02,-0.43
0.015,-0.337
0.011,-0.143
0.007,0.193
0.004,0.568
0.0004,1.097
0,1.08
0.001,0.521
0.003,0.017
0.005,0.045
0.011,0.026
0.019,0.007
0.05,0.064
0.1,0.028
0.147,-0.036
0.199,-0.091
0.299,-0.188
0.4,-0.227
0.499,-0.184
0.599,-0.12
0.729,0.028
0.868,0.153
0.948,0.157
