,0.76,0.768
1,0.122,0.136
0.928,0.072,0.077
0.848,-0.026,-0.013
0.8,-0.108,-0.082
0.72,-0.271,-0.215
0.649,-0.4,-0.366
0.599,-0.479,-0.529
0.549,-0.502,-0.558
0.498,-0.601,-0.696
0.45,-0.972,-0.734
0.4,-0.972,-0.761
0.35,-0.985,-0.802
0.299,-0.968,-0.852
0.25,-0.949,-0.879
0.2,-0.974,-0.877
0.15,-0.94,-0.852
0.101,-0.958,-0.849
0.075,-0.962,-0.849
0.051,-0.985,-0.857
0.031,-0.835,-0.723
0.02,-0.712,-0.6
0.015,-0.698,-0.509
0.011,-0.431,-0.307
0.007,-0.035,0.042
0.004,0.341,0.439
0.0004,1.033,1.064
0,1.151,1.112
0.001,0.885,0.739
0.003,0.42,0.313
0.005,0.449,0.292
0.011,0.324,0.224
0.019,0.262,0.176
0.05,0.256,0.156
0.1,0.19,0.097
0.147,0.109,0.03
0.199,0.055,-0.035
0.299,-0.057,-0.145
0.4,-0.11,-0.198
0.499,-0.114,-0.168
0.599,0.009,-0.097
0.729,0.115,-0.005
0.868,0.171,0.158
0.948,0.198,0.158
