,1.40E-01
0.976234004,-0.025878004
0.950030469,-0.072088725
0.926264473,-0.118299445
0.899451554,-0.164510166
0.875685558,-0.182994455
0.850700792,-0.201478743
0.825716027,-0.229205176
0.798293723,-0.256931608
0.775746496,-0.275415896
0.750152346,-0.312384473
0.725776965,-0.340110906
0.700182815,-0.367837338
0.673979281,-0.367837338
0.6496039,-0.386321627
0.549055454,-0.506469501
0.500304692,-0.534195933
0.449116392,-0.589648799
0.4015844,-0.645101664
0.349786715,-0.700554529
0.300426569,-0.79297597
0.250457038,-0.866913124
0.200487508,-0.996303142
0.150517977,-1.153419593
0.101767215,-1.329020333
0.073735527,-1.402957486
0.049360146,-1.597042514
0.024375381,-1.883548983
0.021328458,-1.994454713
0.016453382,-2.14232902
0.009140768,-2.188539741
0,-0.663585952
0.006093845,0.926062847
0.014015844,0.796672828
0.019500305,0.704251386
0.024984765,0.6025878
0.037172456,0.436229205
0.049360146,0.316081331
0.074344912,0.140480591
0.100548446,0.038817006
0.151127361,-0.035120148
0.200487508,-0.099815157
0.251066423,-0.118299445
0.300426569,-0.146025878
0.3503961,-0.146025878
0.4015844,-0.164510166
0.450335161,-0.164510166
0.500304692,-0.146025878
0.549664839,-0.146025878
0.67519805,-0.118299445
0.700182815,-0.090573013
0.725167581,-0.109057301
0.750152346,-0.090573013
0.776965265,-0.099815157
0.800121877,-0.109057301
0.825106642,-0.109057301
0.850091408,-0.109057301
0.878123096,-0.072088725
0.901279707,-0.081330869
0.925655088,-0.053604436
0.951249238,-0.044362292
0.975624619,-0.035120148
