,0.504
0.9701,0.1377
0.9102,0.0444
0.8797,0.0028
0.8503,-0.0386
0.8198,-0.0625
0.79,-0.0918
0.7304,-0.1391
0.6994,-0.1785
0.6696,-0.2057
0.6396,-0.2316
0.6095,-0.2565
0.5792,-0.2815
0.5494,-0.3174
0.5192,-0.3417
0.4893,-0.3892
0.4591,-0.4116
0.3994,-0.4664
0.3691,-0.5148
0.3393,-0.5622
0.3102,-0.5986
0.2793,-0.6319
0.2492,-0.6688
0.2293,-0.7134
0.2096,-0.7523
0.1895,-0.7679
0.1697,-0.8012
0.1496,-0.8409
0.1293,-0.9505
0.1098,-1.0079
0.0995,-1.0295
0.0893,-1.0349
0.0803,-1.0947
0.0505,-1.1965
0.0298,-1.2935
0.0191,-1.2863
0,0.7056
0.0197,0.6124
0.0296,0.4186
0.059,0.1616
0.0697,0.1093
0.0989,0.0081
0.1195,-0.0357
0.1801,-0.1172
0.1997,-0.1306
0.22,-0.1381
0.24,-0.1369
0.2902,-0.1506
0.32,-0.1597
0.3495,-0.1658
0.4103,-0.1497
0.4396,-0.1277
0.4698,-0.1317
0.5001,-0.1199
0.5302,-0.112
0.5899,-0.0935
0.6201,-0.0542
0.6496,-0.0569
0.7099,-0.0408
0.7393,-0.02
0.7699,-0.0288
0.799,0.008
0.8298,0.0128
0.8598,0.0405
0.8895,0.0458
0.9195,0.0862
0.9497,0.1138
