,0.3,0.4,0.5,0.6,0.65,0.7
0.9489,0.0659,0.0777,0.0793,0.0965,0.1016,0.1062
0.8993,0.0226,0.0314,0.0304,0.0427,0.0451,0.047
0.85,-0.0185,-0.011,-0.0153,-0.0028,-0.0044,-0.0049
0.8003,-0.0453,-0.0407,-0.0444,-0.0369,-0.0397,-0.0438
0.7489,-0.0758,-0.0738,-0.0765,-0.0721,-0.0747,-0.0806
0.6996,-0.0967,-0.0943,-0.1027,-0.0998,-0.1044,-0.1111
0.6495,-0.1142,-0.1158,-0.1253,-0.1253,-0.1334,-0.143
0.5994,-0.1422,-0.1333,-0.144,-0.1456,-0.1543,-0.1653
0.5492,-0.1511,-0.1519,-0.1649,-0.1667,-0.1755,-0.1907
0.4997,-0.1856,-0.1842,-0.1959,-0.2032,-0.2135,-0.2291
0.4496,-0.197,-0.1995,-0.2125,-0.2256,-0.2354,-0.257
0.3994,-0.2168,-0.219,-0.2333,-0.25,-0.2642,-0.2856
0.3499,-0.2281,-0.2299,-0.2503,-0.272,-0.2832,-0.3049
0.2999,-0.2383,-0.246,-0.2665,-0.2922,-0.3038,-0.3296
0.2501,-0.2497,-0.252,-0.2779,-0.2991,-0.3123,-0.3358
0.1994,-0.2551,-0.2615,-0.287,-0.3078,-0.3198,-0.3491
0.1503,-0.2389,-0.2375,-0.2615,-0.2817,-0.2855,-0.3123
0.1012,-0.2026,-0.2021,-0.2148,-0.2277,-0.2365,-0.2491
0.0763,-0.1575,-0.154,-0.1553,-0.1643,-0.1704,-0.1791
0.0515,-0.058,-0.0533,-0.0499,-0.0491,-0.0479,-0.049
0.0271,0.1421,0.1514,0.1634,0.1789,0.1865,0.1925
0.0135,0.4136,0.43,0.4538,0.4743,0.4803,0.4897
0,0.8827,0.9144,0.9438,1.0082,1.0381,1.0711
0,0.8827,0.9144,0.9438,1.0082,1.0381,1.0711
0.0122,-0.5644,-0.5651,-0.5696,-0.4927,-0.438,-0.3396
0.0251,-0.7164,-0.747,-0.7848,-0.7638,-0.7332,-0.6803
0.051,-0.7149,-0.7792,-0.8414,-0.8867,-0.9205,-0.9044
0.0755,-0.6978,-0.7431,-0.8112,-0.8754,-0.9333,-0.9835
0.1,-0.6659,-0.7114,-0.7892,-0.8589,-0.9352,-1.0383
0.1504,-0.61,-0.6479,-0.7191,-0.7888,-0.8538,-1.0752
0.2004,-0.5633,-0.5947,-0.6467,-0.7082,-0.7648,-0.9288
0.2501,-0.5168,-0.5331,-0.5742,-0.6259,-0.6672,-0.6906
0.3002,-0.4627,-0.4796,-0.5178,-0.5493,-0.5745,-0.5999
0.3507,-0.4272,-0.4352,-0.4718,-0.4986,-0.5208,-0.5474
0.4,-0.3879,-0.3952,-0.4239,-0.4456,-0.4674,-0.4909
0.4503,-0.3445,-0.3514,-0.375,-0.3933,-0.4054,-0.4276
0.5,-0.3145,-0.321,-0.341,-0.3531,-0.3654,-0.3809
0.5506,-0.2724,-0.2788,-0.2996,-0.3055,-0.3142,-0.3291
0.5997,-0.2441,-0.2399,-0.2572,-0.261,-0.2672,-0.2765
0.6502,-0.2057,-0.2136,-0.2279,-0.2222,-0.2271,-0.2324
0.7003,-0.1667,-0.1673,-0.1788,-0.1748,-0.1761,-0.1783
0.7497,-0.1322,-0.1322,-0.1365,-0.1301,-0.1288,-0.1302
0.7998,-0.0863,-0.084,-0.0878,-0.0762,-0.0747,-0.0726
0.8503,-0.0496,-0.0434,-0.0473,-0.0301,-0.0282,-0.0216
0.9,-0.0055,0.0032,0.0035,0.021,0.027,0.0356
0.9483,0.0699,0.0817,0.084,0.1072,0.1131,0.122
