,0.3,0.4,0.5,0.6,0.65
0.9489,0.0666,0.0785,0.0806,0.0932,0.0935
0.8993,0.0351,0.038,0.0396,0.0508,0.0475
0.85,0,0.005,0.0043,0.0257,0.0088
0.8003,-0.0121,-0.015,-0.0196,-0.012,-0.0169
0.7487,-0.0466,-0.0399,-0.0419,-0.0372,-0.0426
0.6996,-0.0642,-0.0543,-0.0625,-0.0591,-0.0654
0.6495,-0.0713,-0.07,-0.0792,-0.0781,-0.0852
0.5994,-0.091,-0.0834,-0.0931,-0.0696,-0.0988
0.5492,-0.0999,-0.0944,-0.1024,-0.1056,-0.1126
0.4997,-0.1103,-0.114,-0.1233,-0.1268,-0.1398
0.4496,-0.1194,-0.1195,-0.1308,-0.1389,-0.1493
0.3994,-0.1277,-0.1298,-0.1404,-0.1526,-0.1659
0.3499,-0.1347,-0.1315,-0.1463,-0.1602,-0.1704
0.2999,-0.1385,-0.1319,-0.1549,-0.1618,-0.1751
0.2501,-0.1283,-0.128,-0.1415,-0.15,-0.1639
0.1994,-0.1169,-0.1158,-0.1286,-0.1337,-0.1491
0.1503,-0.061,-0.0651,-0.0716,-0.0776,-0.0905
0.1012,0.0087,0.0162,0.014,0.0139,0.0002
0.0763,0.0799,0.0925,0.0957,0.0977,0.0914
0.0515,0.203,0.2301,0.2304,0.2397,0.2335
0.0271,0.4395,0.4655,0.4782,0.49,0.4806
0.0135,0.7103,0.7381,0.7545,0.768,0.7595
0,0.4708,0.5237,0.5883,0.7246,0.8052
0,0.4708,0.5237,0.5883,0.7246,0.8052
0.0122,-1.2481,-1.2997,-1.3246,-1.1933,-0.9936
0.0251,-1.2758,-1.3411,-1.4213,-1.4579,-1.3051
0.051,-1.1284,-1.1967,-1.31,-1.4963,-1.5014
0.0755,-0.999,-1.0727,-1.1786,-1.3577,-1.5491
0.1,-0.9173,-0.9891,-1.0826,-1.2432,-1.5648
0.1504,-0.8095,-0.8544,-0.9182,-1.0278,-1.418
0.2004,-0.7325,-0.7666,-0.8245,-0.8834,-0.8128
0.2501,-0.6541,-0.6763,-0.7264,-0.7795,-0.7728
0.3002,-0.5829,-0.5976,-0.6495,-0.687,-0.6974
0.3507,-0.5241,-0.5417,-0.5794,-0.6108,-0.6226
0.4,-0.4654,-0.4852,-0.514,-0.5396,-0.5532
0.4503,-0.4114,-0.4264,-0.4512,-0.4674,-0.4762
0.5,-0.3666,-0.3834,-0.4029,-0.415,-0.4245
0.5506,-0.3309,-0.3353,-0.3515,-0.3601,-0.3619
0.5997,-0.288,-0.2886,-0.3038,-0.3028,-0.3056
0.6502,-0.2452,-0.2512,-0.2631,-0.2562,-0.2561
0.7003,-0.2031,-0.1982,-0.2078,-0.2019,-0.2
0.7497,-0.1596,-0.1561,-0.1574,-0.1488,-0.1448
0.7998,-0.0977,-0.1027,-0.1043,-0.0899,-0.0844
0.8503,-0.062,-0.0572,-0.0536,-0.0368,-0.0305
0.9,-0.0098,-0.0043,0.0034,0.0244,0.0303
0.9483,0.0681,0.0802,0.0875,0.1099,0.115
