,0.4
0.9489,0.0227
0.8993,-0.027
0.85,-0.076
0.8003,-0.1366
0.7487,-0.1992
0.6996,-0.263
0.6495,-0.3316
0.5994,-0.4011
0.5492,-0.4731
0.4997,-0.5556
0.4496,-0.6354
0.3994,-0.733
0.3499,-0.8402
0.2949,-0.9709
0.2501,-1.1075
0.1994,-1.3026
0.1503,-1.5332
0.1012,-1.9236
0.0763,-2.205
0.0515,-2.5612
0.0271,-4.0849
0.0135,-4.9696
0,-2.4237
0,-2.4237
0.0122,0.9969
0.0251,0.9933
0.051,0.8
0.0755,0.654
0.1,0.5421
0.1504,0.384
0.2004,0.2835
0.2501,0.2205
0.3002,0.1679
0.3507,0.1322
0.4,0.1096
0.4503,0.0939
0.5,0.0721
0.5506,0.0598
0.5997,0.049
0.6502,0.0414
0.7003,0.0407
0.7497,0.0405
0.7998,0.0378
0.8503,0.0351
0.9,0.019
0.9483,0.0441
