,0.6
0.9489,0.0965
0.8993,0.0427
0.85,-0.0028
0.8003,-0.0369
0.7489,-0.0721
0.6996,-0.0998
0.6495,-0.1253
0.5994,-0.1456
0.5492,-0.1667
0.4997,-0.2032
0.4496,-0.2256
0.3994,-0.25
0.3499,-0.272
0.2999,-0.2922
0.2501,-0.2991
0.1994,-0.3078
0.1503,-0.2817
0.1012,-0.2277
0.0763,-0.1643
0.0515,-0.0491
0.0271,0.1789
0.0135,0.4743
0,1.0082
0,1.0082
0.0122,-0.4927
0.0251,-0.7638
0.051,-0.8867
0.0755,-0.8754
0.1,-0.8589
0.1504,-0.7888
0.2004,-0.7082
0.2501,-0.6259
0.3002,-0.5493
0.3507,-0.4986
0.4,-0.4456
0.4503,-0.3933
0.5,-0.3531
0.5506,-0.3055
0.5997,-0.261
0.6502,-0.2222
0.7003,-0.1748
0.7497,-0.1301
0.7998,-0.0762
0.8503,-0.0301
0.9,0.021
0.9483,0.1072
