,0.005507517
0.98,0.124
0.949,0.047
0.8988,-0.051
0.8488,-0.138
0.7992,-0.203
0.749,-0.26
0.6986,-0.314
0.649,-0.367
0.5994,-0.412
0.5492,-0.45
0.4992,-0.507
0.448,-0.566
0.399,-0.594
0.3498,-0.638
0.2988,-0.653
0.27444,-0.657
0.2492,-0.658
0.2244,-0.645
0.1996,-0.623
0.1744,-0.594
0.1492,-0.56
0.1258,-0.523
0.0996,-0.444
0.075,-0.353
0.049,-0.217
0.0294,-0.014
0.017,0.207
0.0094,0.424
0.0044,0.686
0.0001,0.984
0.0001,0.83
0.0086,0.176
0.0092,-0.243
0.0166,-0.428
0.0292,-0.473
0.0494,-0.436
0.0738,-0.369
0.0996,-0.312
0.149,-0.217
0.1908,-0.136
0.249,-0.075
0.2996,-0.03
0.349,-0.006
0.3998,0.014
0.442,0.028
0.4998,0.034
0.5448,0.053
0.6494,0.083
0.7492,0.105
0.8404,0.126
0.899,0.138
0.9486,0.154
0.9792,0.17
1,0.193
