,0.775
1,0.115817976
0.986,0.118184374
0.946,0.079218209
0.905,0.036951595
0.825,-0.093096078
0.761,-0.20485729
0.727,-0.265287586
0.617,-0.496633839
0.5,-1.143491851
0.383,-0.882148238
0.273,-0.618481546
0.175,-0.586349174
0.096,-0.396261958
0.038,-0.311443053
0.0188,-0.155154241
0.0062,0.209732246
0.0016,
0,
0.0016,
0.0062,
0.0188,0.112877538
0.038,0.038110212
0.096,-0.228247902
0.175,-0.318434869
0.273,-0.455061031
0.383,-0.513198454
0.5,-0.59366207
0.617,-0.232468555
0.727,0.025692191
0.761,0.108448679
0.825,0.135085173
0.905,0.191342889
0.946,0.232526894
0.986,0.179865209
