,0.14
0.998675497,-0.330628803
0.951655629,-0.346855984
0.9,-0.54158215
0.851655629,-0.509127789
0.805960265,-0.476673428
0.754966887,-0.501014199
0.714569536,-0.53346856
0.673509934,-0.52535497
0.631125828,-0.52535497
0.590728477,-0.54969574
0.557615894,-0.54969574
0.515231788,-0.52535497
0.479470199,-0.52535497
0.446357616,-0.54158215
0.41192053,-0.53346856
0.382781457,-0.52535497
0.319205298,-0.54969574
0.291390728,-0.574036511
0.238410596,-0.614604462
0.212582781,-0.638945233
0.190066225,-0.679513185
0.169536424,-0.752535497
0.149006623,-0.866125761
0.129801325,-1.004056795
0.109933775,-1.1663286
0.094701987,-1.336713996
0.079470199,-1.515212982
0.052317881,-2.034482759
0.040397351,-2.261663286
0.033112583,-2.594320487
0.025165563,-3.056795132
0.01589404,-3.478701826
0.010596026,-4.290060852
0,-5.442190669
0.001324503,-1.993914807
0.00794702,-0.135902637
0.016556291,0.740365112
0.033774834,0.951318458
0.047019868,0.951318458
0.069536424,0.918864097
0.094039735,0.870182556
0.123178808,0.797160243
0.157615894,0.69979716
0.190728477,0.626774848
0.233112583,0.561866126
0.273509934,0.464503043
0.322516556,0.415821501
0.371523179,0.310344828
0.426490066,0.286004057
0.50397351,0.245436105
0.550331126,0.237322515
0.612582781,0.221095335
0.682119205,0.253549696
0.757615894,0.269776876
0.833112583,0.156186613
0.916556291,0.09127789
0.998675497,-0.363083164
