,0.106
0.949473684,-0.381625442
0.9,-0.455830389
0.849473684,-0.498233216
0.798947368,-0.530035336
0.750526316,-0.551236749
0.697894737,-0.551236749
0.649473684,-0.561837456
0.596842105,-0.551236749
0.548421053,-0.530035336
0.507368421,-0.519434629
0.486315789,-0.530035336
0.465263158,-0.540636042
0.433684211,-0.561837456
0.397894737,-0.604240283
0.373684211,-0.720848057
0.350526316,-0.80565371
0.224210526,-1.51590106
0.2,-1.664310954
0.173684211,-1.770318021
0.149473684,-1.886925795
0.125263158,-1.982332155
0.105263158,-2.024734982
0.082105263,-2.014134276
0.065263158,-2.077738516
0.051578947,-2.204946996
0.034736842,-2.363957597
0.034736842,-2.363957597
0.026315789,-2.16254417
0.013684211,-2.130742049
0.009473684,-2.22614841
0.005263158,-2.363957597
0.003157895,-2.236749117
0,-2.067137809
0.001052632,-1.961130742
0.001052632,-1.070671378
0.001052632,-0.80565371
0.002105263,-0.137809187
0.007368421,0.413427562
0.014736842,0.720848057
0.031578947,0.901060071
0.048421053,0.911660777
0.072631579,0.816254417
0.127368421,0.561837456
0.167368421,0.371024735
0.207368421,0.222614841
0.251578947,0.06360424
0.298947368,-0.074204947
0.349473684,-0.180212014
0.405263158,-0.201413428
0.463157895,-0.190812721
0.526315789,-0.127208481
0.593684211,-0.06360424
0.666315789,0.021201413
0.745263158,0.106007067
0.825263158,0.180212014
0.908421053,0.180212014
1,-0.106007067
