,0.104
1,0.030120482
0.980119284,0.030120482
0.940357853,0.040160643
0.900596421,0.070281124
0.859840954,0.090361446
0.820079523,0.120481928
0.780318091,0.140562249
0.738568588,0.180722892
0.699801193,0.230923695
0.660039761,0.31124498
0.619284294,0.381526104
0.579522863,0.46184739
0.538767396,0.562248996
0.5,0.672690763
0.46222664,0.763052209
0.425447316,0.863453815
0.352882704,1.114457831
0.320079523,1.184738956
0.290258449,1.204819277
0.25944334,1.275100402
0.228628231,1.365461847
0.199801193,1.475903614
0.168986083,1.586345382
0.138170974,1.71686747
0.11332008,1.907630522
0.090457256,2.098393574
0.068588469,2.269076305
0.052683897,2.479919679
0.038767396,3.002008032
0.02584493,3.74497992
0.016898608,4.136546185
0.008946322,4.558232932
0.005964215,3.202811245
0.001988072,0.9437751
0.001988072,-0.200803213
0.005964215,-0.843373494
0.024850895,-0.973895582
0.039761431,-0.793172691
0.064612326,-0.672690763
0.099403579,-0.491967871
0.161033797,-0.341365462
0.228628231,-0.230923695
0.305168986,-0.140562249
0.384691849,-0.110441767
0.465208748,-0.100401606
0.54473161,-0.130522088
0.625248509,-0.16064257
0.698807157,-0.200803213
0.769383698,-0.210843373
0.833996024,-0.220883534
0.895626243,-0.210843373
0.933399602,-0.180722892
0.963220676,-0.100401606
