,0.17
1,-0.443570614
0.977704523,-0.798260197
0.945792036,-0.809344247
0.894125037,-0.83114339
0.847015081,-0.842688634
0.802946815,-0.86425718
0.74823593,-0.865917481
0.692000905,-0.847392822
0.644893146,-0.869053606
0.602335842,-0.850113871
0.547620564,-0.831543092
0.495953564,-0.853342235
0.441240482,-0.844886996
0.394126135,-0.83620116
0.343976686,-0.847838643
0.2892658,-0.849498945
0.24214706,-0.820582028
0.191993218,-0.811988431
0.157041237,-0.823164719
0.097771111,-0.824963379
0,-0.845978491
0,-0.845978491
0.029380308,-0.816923215
0.018750865,-0.857708213
0.000520491,-0.888608268
0.000362367,-0.160289367
0.001882114,-0.160243247
0.004849134,0.173661821
0.006248092,0.730062657
0.010761213,0.942627361
0.019864321,1.01371286
0.035057397,1.034405136
0.048748295,0.974126969
0.077658624,0.813154595
0.127841015,0.673058974
0.174983913,0.532871114
0.228210191,0.372636651
0.287500082,0.283395448
0.337680278,0.153415367
0.404577688,0.023942601
0.456257865,-0.014951498
0.520096016,-0.05347664
0.57025425,-0.082301318
0.635590187,-0.019624939
0.688783522,-0.028126297
0.74045711,-0.036673775
0.802757945,0.005679285
0.862036856,-0.032984216
0.954748001,-0.060517548
1,-0.443616734
