,0.31,0.41,0.51,0.55,0.61,0.63,0.65,0.68,0.71,0.74,0.76,0.79,0.81,0.84,0.86,0.89,0.92
0,1.02,1.02,1.06,1.06,1.06,1.09,1.1,1.1,1.12,1.13,1.13,1.14,1.16,1.15,1.18,1.19,1.2
0.006,0.16,0.17,0.18,0.17,0.2,0.2,0.22,0.22,0.24,0.25,0.26,0.29,0.29,0.32,0.35,0.37,0.41
0.016,-0.02,-0.03,-0.02,-0.05,-0.03,-0.03,-0.02,-0.02,-0.01,0.01,0.01,0.02,0.03,0.06,0.08,0.11,0.15
0.027,-0.1,-0.11,-0.12,-0.14,-0.13,-0.14,-0.13,-0.14,-0.14,-0.12,-0.13,-0.12,-0.12,-0.09,-0.08,-0.06,-0.02
0.051,-0.12,-0.14,-0.15,-0.18,-0.17,-0.18,-0.18,-0.18,-0.19,-0.18,-0.2,-0.19,-0.21,-0.18,-0.18,-0.17,-0.14
0.08,-0.11,-0.13,-0.14,-0.16,-0.16,-0.17,-0.17,-0.17,-0.18,-0.17,-0.18,-0.18,-0.21,-0.19,-0.19,-0.18,-0.15
0.106,-0.15,-0.17,-0.19,-0.22,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.26,-0.26,-0.28,-0.27,-0.28,-0.28,-0.26
0.154,-0.12,-0.13,-0.15,-0.17,-0.17,-0.19,-0.18,-0.18,-0.19,-0.18,-0.2,-0.21,-0.24,-0.23,-0.24,-0.24,-0.24
0.199,-0.12,-0.13,-0.15,-0.17,-0.17,-0.18,-0.18,-0.19,-0.2,-0.19,-0.2,-0.21,-0.24,-0.24,-0.25,-0.25,-0.24
0.255,-0.12,-0.14,-0.16,-0.18,-0.18,-0.19,-0.19,-0.2,-0.2,-0.2,-0.22,-0.23,-0.27,-0.26,-0.3,-0.31,-0.3
0.304,-0.12,-0.14,-0.16,-0.18,-0.18,-0.19,-0.19,-0.2,-0.21,-0.2,-0.22,-0.23,-0.27,-0.27,-0.3,-0.33,-0.32
0.351,-0.12,-0.14,-0.16,-0.18,-0.17,-0.18,-0.19,-0.19,-0.21,-0.2,-0.22,-0.23,-0.27,-0.26,-0.3,-0.33,-0.34
0.399,-0.14,-0.15,-0.17,-0.2,-0.19,-0.21,-0.2,-0.21,-0.23,-0.22,-0.24,-0.25,-0.3,-0.3,-0.34,-0.38,-0.38
0.448,-0.13,-0.14,-0.16,-0.19,-0.18,-0.2,-0.2,-0.2,-0.22,-0.21,-0.23,-0.24,-0.28,-0.28,-0.34,-0.41,-0.43
0.502,-0.12,-0.12,-0.14,-0.17,-0.16,-0.18,-0.18,-0.18,-0.19,-0.18,-0.2,-0.21,-0.25,-0.24,-0.29,-0.39,-0.46
0.551,-0.1,-0.1,-0.12,-0.14,-0.13,-0.14,-0.14,-0.15,-0.16,-0.16,-0.16,-0.17,-0.2,-0.19,-0.22,-0.31,-0.46
0.6,-0.06,-0.07,-0.09,-0.12,-0.11,-0.12,-0.12,-0.12,-0.13,-0.12,-0.13,-0.14,-0.17,-0.15,-0.16,-0.23,-0.44
0.655,-0.04,-0.05,-0.06,-0.09,-0.08,-0.09,-0.08,-0.09,-0.1,-0.09,-0.1,-0.1,-0.12,-0.1,-0.1,-0.11,-0.36
0.758,-0.02,-0.03,-0.04,-0.07,-0.05,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.08,-0.05,-0.06,-0.04,-0.08
0.804,0.03,0.03,0.01,-0.01,0,0,0,0,0,0.01,0,0.01,0,0.01,0.01,0.02,0.04
0.904,0.07,0.08,0.06,0.04,0.06,0.04,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.08,0.09,0.1,0.13
0.955,0.07,0.07,0.06,0.03,0.06,0.04,0.05,0.06,0.06,0.06,0.06,0.08,0.06,0.09,0.09,0.1,0.14
1,0.38,0.2,0.24,0.2,0.2,0.2,0.2,0.2,0.17,0.2,0.17,0.2,0.23,0.21,0.21,0.22,0.13
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
•,,,,,,,,,,,,,,,,,
