,0.32,0.42,0.53
1,-0.88,-0.87,-0.9
0.95,-0.88,-0.86,-0.9
0.85,-0.9,-0.88,-0.93
0.8,-0.89,-0.88,-0.93
0.75,-0.91,-0.89,-0.94
0.7,-0.9,-0.9,-0.94
0.65,-0.91,-0.89,-0.94
0.6,-0.91,-0.89,-0.94
0.55,-0.9,-0.89,-0.94
0.5,-0.89,-0.89,-0.94
0.4,-0.88,-0.87,-0.92
0.35,-0.89,-0.87,-0.92
0.3,-0.88,-0.87,-0.91
0.25,-0.87,-0.86,-0.9
0.2,-0.87,-0.85,-0.9
0.15,-0.87,-0.85,-0.9
0.1,-0.86,-0.84,-0.89
0.08,-0.85,-0.84,-0.89
0.05,-0.85,-0.84,-0.88
0.03,-0.85,-0.84,-0.88
0.01,-0.85,-0.84,-0.88
0,-0.87,-0.85,-0.88
0.005,0.49,0.53,0.57
0.014,0.92,0.95,0.97
0.049,1.01,1.03,1.05
0.073,0.95,0.96,0.99
0.098,0.88,0.9,0.93
0.152,0.75,0.77,0.8
0.251,0.55,0.57,0.6
0.3,0.46,0.48,0.51
0.351,0.37,0.39,0.43
0.403,0.3,0.32,0.35
0.449,0.23,0.25,0.28
0.5,0.17,0.19,0.22
0.549,0.11,0.14,0.17
0.602,0.07,0.09,0.12
0.649,0.03,0.04,0.07
0.701,-0.02,0,0.02
0.751,-0.08,-0.06,-0.03
0.801,-0.15,-0.13,-0.11
0.851,-0.24,-0.23,-0.2
0.951,-0.48,-0.47,-0.46
