,0.57
1,-0.77
0.947,-0.81
0.902,-0.83
0.852,-0.84
0.802,-0.85
0.752,-0.85
0.701,-0.84
0.651,-0.83
0.6,-0.83
0.551,-0.82
0.5,-0.81
0.45,-0.82
0.4,-0.8
0.352,-0.79
0.298,-0.79
0.25,-0.78
0.2,-0.78
0.15,-0.77
0.1,-0.77
0.075,-0.77
0.05,-0.77
0.025,-0.77
0.013,-0.77
0.006,-0.77
0,-0.87
0.013,1.07
0.026,1.01
0.05,0.89
0.075,0.83
0.101,0.76
0.151,0.67
0.2,0.59
0.252,0.52
0.302,0.47
0.352,0.41
0.4,0.36
0.451,0.33
0.501,0.29
0.551,0.26
0.601,0.24
0.652,0.2
0.702,0.18
0.752,0.15
0.801,0.12
0.851,0.04
0.902,-0.08
0.951,-0.37
