,0.51
1,0.08
0.95,0.02
0.9,-0.02
0.85,-0.1
0.8,-0.18
0.75,-0.21
0.7,-0.22
0.65,-0.22
0.6,-0.24
0.55,-0.23
0.5,-0.23
0.45,-0.21
0.4,-0.2
0.35,-0.18
0.3,-0.14
0.25,-0.1
0.2,-0.03
0.15,0.04
0.1,0.13
0.08,0.22
0.05,0.34
0.03,0.5
0.013,0.72
0.006,0.98
0,0.04
0.013,-0.86
0.026,-0.86
0.05,-0.88
0.074,-0.88
0.101,-0.86
0.151,-0.73
0.2,-0.53
0.252,-0.34
0.302,-0.21
0.352,-0.13
0.4,-0.09
0.451,-0.05
0.501,-0.02
0.551,-0.02
0.601,0.01
0.652,0.04
0.702,0.06
0.752,0.08
0.801,0.1
0.851,0.12
0.902,0.13
0.951,0.11
