,1.40E-01
1,0.072886297
0.975014196,0.002915452
0.949460534,-0.032069971
0.925610449,-0.075801749
0.899488927,-0.084548105
0.876206701,-0.119533528
0.848949461,-0.137026239
0.826235094,-0.15451895
0.799545713,-0.163265306
0.775695627,-0.189504373
0.747870528,-0.206997085
0.725156161,-0.206997085
0.700170358,-0.233236152
0.674616695,-0.250728863
0.649063032,-0.250728863
0.550255537,-0.311953353
0.49971607,-0.329446064
0.449176604,-0.346938776
0.399772856,-0.381924198
0.348665531,-0.443148688
0.298693924,-0.443148688
0.249290176,-0.469387755
0.197614991,-0.513119534
0.148211244,-0.513119534
0.098239637,-0.513119534
0.072118115,-0.504373178
0.04826803,-0.486880466
0.022714367,-0.33819242
0.011357183,-0.259475219
0.005110733,-0.032069971
0.002839296,0.081632653
0.000567859,0.282798834
0.0005,0.711370262
0,0.912536443
0.0005,0.711370262
0.000567859,0.282798834
0.002839296,0.081632653
0.005110733,-0.032069971
0.011357183,-0.259475219
0.022714367,-0.33819242
0.04826803,-0.486880466
0.072118115,-0.504373178
0.098239637,-0.513119534
0.148211244,-0.513119534
0.197614991,-0.513119534
0.249290176,-0.469387755
0.298693924,-0.443148688
0.348665531,-0.443148688
0.399772856,-0.381924198
0.449176604,-0.346938776
0.49971607,-0.329446064
0.550255537,-0.311953353
0.649063032,-0.250728863
0.674616695,-0.250728863
0.700170358,-0.233236152
0.725156161,-0.206997085
0.747870528,-0.206997085
0.775695627,-0.189504373
0.799545713,-0.163265306
0.826235094,-0.15451895
0.848949461,-0.137026239
0.876206701,-0.119533528
0.899488927,-0.084548105
0.925610449,-0.075801749
0.949460534,-0.032069971
0.975014196,0.002915452
1,0.072886297
