	2.20E+06
0.005617978	-6.046908316
0.016853933	-4.78891258
0.021067416	-4.277185501
0.026685393	-3.786780384
0.050561798	-2.912579957
0.074438202	-2.464818763
0.101123596	-2.208955224
0.150983146	-1.814498934
0.200842697	-1.526652452
0.250702247	-1.345415778
0.301966292	-1.185501066
0.351825843	-1.046908316
0.401685393	-0.929637527
0.452247191	-0.823027719
0.501404494	-0.748400853
0.550561798	-0.673773987
0.650983146	-0.503198294
0.678370787	-0.481876333
0.702247191	-0.439232409
0.724719101	-0.407249467
0.752106742	-0.396588486
0.778089888	-0.353944563
0.802668539	-0.332622601
0.829353933	-0.289978678
0.853932584	-0.247334755
0.878511236	-0.226012793
0.903089888	-0.18336887
0.929775281	-0.162046908
0.952247191	-0.119402985
0.980337079	-0.108742004
1	-0.0554371
