	2.20E+06
0.006093845	0.926062847
0.014015844	0.796672828
0.019500305	0.704251386
0.024984765	0.6025878
0.037172456	0.436229205
0.049360146	0.316081331
0.074344912	0.140480591
0.100548446	0.038817006
0.151127361	-0.035120148
0.200487508	-0.099815157
0.251066423	-0.118299445
0.300426569	-0.146025878
0.3503961	-0.146025878
0.4015844	-0.164510166
0.450335161	-0.164510166
0.500304692	-0.146025878
0.549664839	-0.146025878
0.67519805	-0.118299445
0.700182815	-0.090573013
0.725167581	-0.109057301
0.750152346	-0.090573013
0.776965265	-0.099815157
0.800121877	-0.109057301
0.825106642	-0.109057301
0.850091408	-0.109057301
0.878123096	-0.072088725
0.901279707	-0.081330869
0.925655088	-0.053604436
0.951249238	-0.044362292
0.975624619	-0.035120148
