,0.3,0.4,0.5,0.6,0.65,0.7
0.9489,0.0664,0.0776,0.0826,0.1033,0.108,0.1151
0.8993,0.0075,0.0253,0.0225,0.0383,0.0435,0.046
0.85,-0.0312,-0.023,-0.0264,-0.0151,-0.0152,-0.0143
0.8003,-0.0671,-0.0615,-0.0663,-0.0582,-0.0601,-0.0603
0.7489,-0.1061,-0.0975,-0.1061,-0.0976,-0.103,-0.1065
0.6996,-0.1326,-0.1284,-0.1407,-0.1346,-0.141,-0.1482
0.6495,-0.152,-0.1609,-0.1651,-0.1695,-0.1805,-0.1866
0.5994,-0.1809,-0.1837,-0.1938,-0.1987,-0.2072,-0.2173
0.5492,-0.2025,-0.2052,-0.2241,-0.2292,-0.2409,-0.2547
0.4997,-0.2431,-0.2435,-0.2609,-0.2692,-0.2873,-0.3048
0.4496,-0.2672,-0.2639,-0.2851,-0.3032,-0.3188,-0.3408
0.3994,-0.2977,-0.3033,-0.3227,-0.3415,-0.3644,-0.3869
0.3499,-0.3221,-0.3305,-0.3547,-0.378,-0.403,-0.4351
0.2999,-0.3468,-0.3634,-0.387,-0.4167,-0.4456,-0.4797
0.2501,-0.3743,-0.3908,-0.4213,-0.4465,-0.4756,-0.5171
0.1994,-0.4143,-0.4296,-0.4594,-0.4823,-0.5186,-0.5677
0.1503,-0.4057,-0.4318,-0.466,-0.4849,-0.5203,-0.5646
0.1012,-0.4177,-0.4365,-0.4717,-0.4888,-0.5211,-0.5489
0.0763,-0.407,-0.4149,-0.4479,-0.4619,-0.4844,-0.4991
0.0515,-0.3523,-0.3702,-0.3928,-0.3804,-0.3905,-0.3876
0.0271,-0.2309,-0.2376,-0.2354,-0.2126,-0.2002,-0.1717
0.0135,0.0011,0.0166,0.0257,0.0682,0.0877,0.1255
0,0.9961,1.0197,1.0503,1.0916,1.108,1.1271
0,0.9961,1.0197,1.0503,1.0916,1.108,1.1271
0.0122,-0.0152,0.0015,0.0164,0.056,0.0854,0.1119
0.0251,-0.2541,-0.264,-0.2584,-0.2416,-0.2266,-0.2056
0.051,-0.3801,-0.4083,-0.4383,-0.4486,-0.4532,-0.457
0.0755,-0.4123,-0.4372,-0.4763,-0.5014,-0.5225,-0.5497
0.1,-0.4312,-0.4575,-0.502,-0.5351,-0.5672,-0.6109
0.1504,-0.4366,-0.445,-0.5011,-0.5399,-0.5756,-0.6405
0.2004,-0.4245,-0.4338,-0.482,-0.5158,-0.5514,-0.6138
0.2501,-0.3878,-0.4035,-0.4473,-0.4744,-0.5027,-0.558
0.3002,-0.3538,-0.3728,-0.3987,-0.4286,-0.4565,-0.4971
0.3507,-0.3336,-0.3413,-0.3643,-0.3924,-0.4162,-0.4497
0.4,-0.3067,-0.3101,-0.3278,-0.3493,-0.37,-0.394
0.4503,-0.2715,-0.2675,-0.288,-0.3069,-0.3219,-0.3463
0.5,-0.2499,-0.2494,-0.2677,-0.2783,-0.2959,-0.3161
0.5506,-0.216,-0.2178,-0.2374,-0.2454,-0.257,-0.2732
0.5997,-0.189,-0.1915,-0.2025,-0.209,-0.2168,-0.2291
0.6502,-0.1656,-0.1757,-0.1808,-0.1802,-0.1904,-0.1968
0.7003,-0.1372,-0.1321,-0.1453,-0.1403,-0.1458,-0.1529
0.7497,-0.1096,-0.0993,-0.1088,-0.102,-0.1064,-0.1093
0.7998,-0.0665,-0.0619,-0.0683,-0.0596,-0.0598,-0.0581
0.8503,-0.0356,-0.0267,-0.0322,-0.0207,-0.02,-0.0178
0.9,-0.0087,0.0112,0.0057,0.0217,0.0262,0.0318
0.9483,0.0724,0.0822,0.0848,0.1053,0.1092,0.1179
