,1.00E+05
0.002806361,0.894637817
0.004677268,0.533396049
0.004677268,0.424270931
0.014031805,0.066792098
0.019644528,-0.117591722
0.027128157,-0.25682032
0.034611787,-0.396048918
0.046772685,-0.482596425
0.072965388,-0.587958608
0.087932647,-0.640639699
0.110383536,-0.66321731
0.126286249,-0.67074318
0.148737138,-0.66321731
0.169317119,-0.659454374
0.195509822,-0.644402634
0.220767072,-0.633113829
0.242282507,-0.603010348
0.274087933,-0.576669802
0.304957905,-0.550329257
0.333956969,-0.535277516
0.36950421,-0.505174036
0.404115996,-0.47883349
0.438727783,-0.452492944
0.479887746,-0.414863594
0.520112254,-0.384760113
0.560336763,-0.362182502
0.599625819,-0.358419567
0.640785781,-0.347130762
0.684752105,-0.347130762
0.739943873,-0.347130762
0.807296539,-0.324553151
0.87839102,-0.031044214
0.959775491,0.063029163
