,5.00E+04,1.00E+05,2.00E+05
0.9,0.53,0.10292729,0.129885057
0.76,0.548,0.303116147,0.250574713
0.62,0.578,0.522190746,0.451724138
0.51,0.512,0.650613787,0.616666667
0.42,0.56,0.771482531,0.890229885
0.34,0.536,1.424929178,1.079310345
0.23,0.584,1.700661001,1.891954023
0.18,0.572,1.817752597,1.904022989
0.14,0.578,1.980169972,2.08908046
0.1,0.602,2.206798867,2.575862069
0.07,0.77,2.486307838,3.018390805
0.05,0.929,2.731822474,3.203448276
0.03,0.638,2.399433428,3.21954023
0.022,0.344,1.995278565,2.821264368
0.02,-0.574,0.155807365,0.789655172
0.024,-1.003,-0.830028329,-0.52183908
0.03,-0.85,-0.969782814,-0.811494253
0.06,-0.58,-0.807365439,-0.895977011
0.08,-0.478,-0.603399433,-0.702873563
0.12,-0.349,-0.406987724,-0.545977011
0.17,-0.202,-0.278564684,-0.409195402
0.36,0.002,-0.074598678,-0.143678161
0.51,0.002,-0.04815864,-0.087356322
0.7,-0.004,-0.044381492,-0.047126437
