,-20,-16,-12,-8,-6,-4,-2,0,2,4,8,12,16,18,20,24,30
1,-0.477,-0.396,-0.201,0.067,0.148,0.164,0.172,0.172,0.172,0.156,0.181,0.002,-0.234,-0.364,-0.461,-0.558,-0.558
0.9792,-0.485,-0.42,-0.209,0.083,0.148,0.164,0.156,0.156,0.172,0.172,0.148,0.058,-0.104,-0.218,-0.274,-0.38,-0.356
0.9486,-0.502,-0.453,-0.242,0.075,0.131,0.148,0.14,0.148,0.172,0.172,0.164,0.117,-0.015,-0.103,-0.161,-0.25,-0.209
0.899,-0.518,-0.485,-0.282,0.058,0.115,0.128,0.128,0.131,0.169,0.172,0.18,0.156,0.085,0.002,-0.047,-0.12,-0.071
0.8494,-0.526,-0.518,-0.323,0.034,0.083,0.099,0.107,0.123,0.148,0.169,0.198,0.172,0.123,0.058,0.026,-0.047,0.01
0.7492,-0.526,-0.534,-0.404,-0.015,0.042,0.067,0.075,0.108,0.145,0.169,0.213,0.221,0.205,0.156,0.131,0.075,0.148
0.6491,-0.526,-0.542,-0.485,-0.071,-0.006,0.018,0.05,0.083,0.123,0.169,0.221,0.253,0.261,0.221,0.213,0.164,0.246
0.5448,-0.518,-0.542,-0.575,-0.153,-0.063,-0.0031,0.001,0.058,0.117,0.148,0.22,0.278,0.31,0.278,0.269,0.237,0.335
0.4998,-0.502,-0.534,-0.615,-0.193,-0.096,-0.08,-0.006,0.034,0.091,0.148,0.221,0.296,0.334,0.318,0.31,0.278,0.383
0.449,-0.502,-0.526,-0.656,-0.242,-0.128,-0.08,-0.081,0.026,0.091,0.145,0.245,0.31,0.367,0.348,0.343,0.318,0.424
0.3998,-0.502,-0.526,-0.689,-0.307,-0.169,-0.112,-0.055,0.01,0.075,0.131,0.253,0.334,0.383,0.375,0.367,0.351,0.464
0.349,-0.502,-0.518,-0.718,-0.388,-0.209,-0.153,-0.08,-0.015,0.067,0.131,0.261,0.351,0.415,0.407,0.407,0.391,0.505
0.2996,-0.494,-0.518,-0.729,-0.494,-0.274,-0.201,-0.12,-0.055,0.012,0.115,0.269,0.375,0.464,0.448,0.44,0.432,0.545
0.249,-0.485,-0.51,-0.729,-0.615,-0.364,-0.274,-0.177,-0.104,0.01,0.117,0.278,0.417,0.497,0.489,0.481,0.472,0.594
0.1998,-0.485,-0.502,-0.729,-0.709,-0.477,-0.372,-0.266,-0.161,-0.023,0.091,0.294,0.432,0.537,0.537,0.521,0.513,0.651
0.1494,-0.477,-0.494,-0.721,-0.94,-0.623,-0.494,-0.404,-0.218,-0.055,0.075,0.328,0.497,0.61,0.61,0.494,0.594,0.732
0.0996,-0.485,-0.494,-0.713,-1.2,-0.818,-0.794,-0.558,-0.315,-0.12,0.058,0.375,0.586,0.716,0.707,0.692,0.692,0.821
0.0788,-0.477,-0.485,-0.696,-1.476,-1.403,-1.029,-0.648,-0.372,-0.128,0.075,0.44,0.675,0.813,0.797,0.773,0.765,0.886
0.0494,-0.477,-0.485,-0.688,-1.785,-1.727,-1.159,-0.786,-0.445,-0.186,0.125,0.554,0.797,0.919,0.903,0.878,0.862,0.959
0.02929,-0.469,-0.477,-0.68,-1.719,-1.841,-1.386,-0.932,-0.477,-0.088,0.237,0.716,0.927,0.902,0.976,0.976,0.959,1
0.0166,-0.469,-0.477,-0.672,-1.687,-2.101,-1.622,-1.013,-0.445,-0.084,0.416,0.894,0.992,0.919,0.919,1,0.984,0.927
0.0092,-0.469,-0.485,-0.696,-1.906,-2.393,-1.703,-0.94,-0.25,0.278,0.651,1,0.87,0.595,0.635,0.984,0.886,0.724
0.0036,-0.526,-0.623,-0.932,-2.239,-2.377,-1.468,-0.574,0.156,0.659,0.919,0.903,0.221,-0.502,-0.815,0.883,0.456,0.156
0,-0.615,-0.494,-0.542,-1.224,-1.037,-0.258,0.383,0.813,0.984,0.944,0.198,-1.265,-2.506,-2.019,-0.648,-0.355,-0.599
0,0.026,0.237,0.302,0.067,0.351,0.683,0.935,0.984,0.854,0.411,-0.891,-2.815,-4.203,-3.407,-1.451,-0.891,-0.745
0.0044,0.756,0.878,0.919,0.886,0.959,1,0.935,0.708,0.351,-0.185,-1.654,-3.383,-4.275,-3.261,-1.33,-0.68,-0.567
0.0094,0.951,0.992,1,1,1,0.927,0.748,0.448,0.042,-0.458,-1.744,-3.18,-3.846,-3.01,-1.192,-0.648,-0.567
0.017,1,1,0.984,0.968,0.927,0.781,0.554,0.237,-0.136,-0.599,-1.719,-2.912,-3.578,-2.912,-1.195,-0.64,-0.558
0.0294,0.976,0.919,0.87,0.83,0.74,0.562,0.318,0.01,-0.328,-0.721,-1.646,-2.62,-3.464,-2.896,-1.183,-0.64,-0.591
0.049,0.87,0.778,0.7,0.635,0.529,0.326,0.099,-0.185,-0.485,-0.826,-1.573,-2.369,-3.326,-2.612,-1.167,-0.648,-0.591
0.075,0.724,0.619,0.521,0.448,0.326,0.131,-0.08,-0.323,-0.588,-0.867,-1.484,-2.125,-2.068,-1.8,-1.062,-0.656,-0.591
0.0996,0.61,0.489,0.399,0.31,0.188,0.002,-0.185,-0.42,-0.648,-0.899,-1.427,-1.93,-1.922,-1.672,-0.997,-0.648,-0.575
0.1258,0.489,0.367,0.269,0.172,0.067,-0.112,-0.201,-0.502,-0.705,-0.932,-1.394,-1.8,-1.833,-1.5,-0.956,-0.648,-0.575
0.1492,0.599,0.286,0.188,0.091,-0.015,-0.185,-0.347,-0.542,-0.729,-0.932,-1.346,-1.703,-1.711,-1.394,-0.916,-0.64,-0.575
0.1744,0.318,0.205,0.115,0.026,-0.08,-0.242,-0.306,-0.567,-0.737,-0.932,-1.306,-1.597,-1.589,-1.281,-0.883,-0.64,-0.591
0.1996,0.245,0.128,0.042,-0.039,-0.136,-0.291,-0.437,-0.599,-0.761,-0.932,-1.278,-1.532,-1.484,-1.192,-0.859,-0.64,-0.575
0.2244,0.14,0.042,-0.031,-0.104,-0.242,-0.266,-0.477,-0.623,-0.737,-0.859,-1.192,-1.386,-1.338,-1.11,-0.859,-0.648,-0.631
0.2492,0.115,0.01,-0.055,-0.128,-0.218,-0.356,-0.485,-0.623,-0.761,-0.907,-1.192,-1.386,-1.289,-1.013,-0.81,-0.631,-0.575
0.2744,0.058,-0.088,-0.104,-0.168,-0.258,-0.38,-0.51,-0.64,-0.761,-0.899,-1.159,-1.321,-1.2,-0.94,-0.786,-0.631,-0.575
0.2988,0.018,-0.08,-0.128,-0.193,-0.274,-0.396,-0.51,-0.631,-0.745,-0.867,-1.127,-1.256,-1.004,-0.867,-0.709,-0.631,-0.588
0.3498,-0.063,-0.144,-0.185,-0.226,-0.299,-0.412,-0.502,-0.615,-0.705,-0.81,-1.029,-1.127,-0.916,-0.745,-0.721,-0.631,-0.583
0.399,-0.12,-0.185,-0.201,-0.242,-0.299,-0.404,-0.485,-0.575,-0.664,-0.761,-0.932,-0.981,-0.745,-0.648,-0.696,-0.631,-0.591
0.448,-0.185,-0.234,-0.234,-0.258,-0.315,-0.396,-0.469,-0.542,-0.623,-0.705,-0.834,-0.883,-0.615,-0.583,-0.68,-0.64,-0.591
0.4992,-0.209,-0.25,-0.242,-0.242,-0.291,-0.364,-0.437,-0.494,-0.567,-0.668,-0.705,-0.745,-0.494,-0.542,-0.664,-0.64,-0.591
0.5492,-0.234,-0.258,-0.234,-0.226,-0.258,-0.331,-0.396,-0.453,-0.518,-0.607,-0.599,-0.64,-0.404,-0.502,-0.64,-0.64,-0.591
0.5994,-0.274,-0.291,-0.25,-0.218,-0.25,-0.315,-0.364,-0.42,-0.485,-0.534,-0.534,-0.542,-0.347,-0.494,-0.631,-0.648,-0.591
0.649,-0.315,-0.315,-0.258,-0.209,-0.234,-0.291,-0.339,-0.388,-0.445,-0.437,-0.469,-0.445,-0.328,-0.477,-0.623,-0.656,-0.607
0.6986,-0.339,-0.328,-0.25,-0.185,-0.209,-0.258,-0.307,-0.347,-0.364,-0.347,-0.388,-0.347,-0.299,-0.461,-0.615,-0.656,-0.599
0.749,-0.364,-0.339,-0.25,-0.161,-0.177,-0.226,-0.274,-0.299,-0.291,-0.282,-0.299,-0.266,-0.282,-0.461,-0.607,-0.656,-0.599
0.7992,-0.389,-0.347,-0.242,-0.136,-0.144,-0.201,-0.234,-0.209,-0.193,-0.217,-0.218,-0.185,-0.266,-0.445,-0.591,-0.648,-0.599
0.8488,-0.412,-0.364,-0.226,-0.104,-0.12,-0.169,-0.161,-0.112,-0.128,-0.144,-0.128,-0.104,-0.266,-0.429,-0.567,-0.631,-0.591
0.8988,-0.429,-0.364,-0.209,-0.071,-0.088,-0.096,-0.047,-0.089,-0.039,-0.055,-0.039,-0.055,-0.258,-0.42,-0.55,-0.615,-0.575
0.949,-0.461,-0.38,-0.193,-0.047,-0.006,0.084,0.05,0.05,0.05,0.042,0.05,-0.023,-0.25,-0.404,-0.501,-0.591,-0.591
0.98,-0.477,-0.388,-0.185,0.01,0.091,0.115,0.115,0.123,0.123,0.125,0.118,0.002,-0.242,-0.38,-0.477,-0.567,-0.558
