,0.310,0.420,0.520,0.550,0.570,0.600,0.620,0.660
0.015,1.010,1.060,1.060,1.060,1.070,1.080,1.080,1.090
0.028,0.970,1.030,1.020,1.020,1.040,1.040,1.040,1.060
0.052,0.870,0.910,0.910,0.940,0.930,0.940,0.940,0.960
0.080,0.750,0.800,0.800,0.800,0.820,0.830,0.840,0.840
0.106,0.670,0.720,0.720,0.730,0.750,0.760,0.760,0.770
0.154,0.560,0.620,0.620,0.620,0.640,0.650,0.640,0.660
0.204,0.470,0.520,0.520,0.520,0.540,0.550,0.540,0.570
0.251,0.410,0.450,0.440,0.460,0.480,0.480,0.480,0.500
0.300,0.350,0.390,0.380,0.400,0.410,0.420,0.420,0.440
0.352,0.290,0.320,0.300,0.320,0.330,0.340,0.340,0.360
0.401,0.220,0.260,0.240,0.240,0.260,0.270,0.270,0.300
0.452,0.170,0.200,0.180,0.200,0.210,0.220,0.220,0.240
0.500,0.120,0.160,0.140,0.140,0.170,0.170,0.170,0.200
0.555,0.090,0.120,0.100,0.120,0.130,0.130,0.140,0.160
0.602,0.030,0.060,0.040,0.050,0.060,0.060,0.060,0.090
0.655,-0.020,-0.030,-0.020,-0.010,0.000,0.000,0.000,0.030
0.707,-0.060,-0.060,-0.060,-0.050,-0.040,-0.040,-0.040,-0.010
0.755,-0.080,-0.090,-0.080,-0.070,-0.060,-0.060,-0.060,-0.040
0.852,-0.160,-0.160,-0.160,-0.150,-0.150,-0.140,-0.140,-0.120
0.904,-0.250,-0.260,-0.260,-0.250,-0.260,-0.250,-0.250,-0.230
0.955,-0.350,-0.370,-0.370,-0.370,-0.390,-0.370,-0.370,-0.360
