,0.320,0.420,0.530
0.015,0.970,0.970,1.000
0.028,1.030,1.020,1.050
0.052,1.030,1.010,1.040
0.080,0.960,0.940,0.970
0.106,0.890,0.880,0.920
0.154,0.800,0.780,0.820
0.204,0.710,0.690,0.730
0.251,0.640,0.630,0.660
0.300,0.560,0.560,0.590
0.352,0.500,0.480,0.520
0.401,0.410,0.400,0.440
0.452,0.360,0.340,0.390
0.500,0.300,0.290,0.320
0.555,0.260,0.240,0.280
0.602,0.180,0.160,0.150
0.655,0.100,0.100,0.130
0.707,0.040,0.040,0.070
0.755,0.000,0.000,0.030
0.852,-0.110,-0.120,-0.090
0.904,-0.250,-0.260,-0.230
0.955,-0.410,-0.420,-0.410
