,0.32,0.42,0.53
0,-0.85,-0.88,-0.9
0.006,-0.85,-0.88,-0.9
0.016,-0.85,-0.88,-0.9
0.027,-0.84,-0.87,-0.9
0.051,-0.85,-0.88,-0.9
0.08,-0.85,-0.88,-0.9
0.106,-0.85,-0.88,-0.9
0.154,-0.86,-0.88,-0.91
0.199,-0.86,-0.88,-0.91
0.255,-0.87,-0.89,-0.92
0.304,-0.87,-0.9,-0.92
0.351,-0.88,-0.9,-0.92
0.399,-0.88,-0.9,-0.94
0.448,-0.89,-0.91,-0.94
0.502,-0.89,-0.91,-0.94
0.551,-0.9,-0.91,-0.94
0.6,-0.9,-0.92,-0.95
0.655,-0.9,-0.92,-0.95
0.758,-0.89,-0.92,-0.95
0.804,-0.89,-0.91,-0.95
0.904,-0.87,-0.9,-0.94
0.955,-0.86,-0.88,-0.92
1,-0.85,-0.88,-0.91
