,0.32,0.42,0.53
0.00,-0.87,-0.85,-0.88
0.01,-0.85,-0.84,-0.88
0.03,-0.85,-0.84,-0.88
0.05,-0.85,-0.84,-0.88
0.08,-0.85,-0.84,-0.89
0.10,-0.86,-0.84,-0.89
0.15,-0.87,-0.85,-0.90
0.20,-0.87,-0.85,-0.90
0.25,-0.87,-0.86,-0.90
0.30,-0.88,-0.87,-0.91
0.35,-0.89,-0.87,-0.92
0.40,-0.88,-0.87,-0.92
0.50,-0.89,-0.89,-0.94
0.55,-0.90,-0.89,-0.94
0.60,-0.91,-0.89,-0.94
0.65,-0.91,-0.89,-0.94
0.70,-0.90,-0.90,-0.94
0.75,-0.91,-0.89,-0.94
0.80,-0.89,-0.88,-0.93
0.85,-0.90,-0.88,-0.93
0.95,-0.88,-0.86,-0.90
1.00,-0.88,-0.87,-0.90
