,0.320,0.410,0.510,0.530,0.560,0.580,0.610,0.640,0.660,0.680,0.710,0.740,0.770,0.800,0.820
0.005,0.800,0.920,1.030,1.040,1.050,1.070,1.090,1.100,1.110,1.120,1.130,1.140,1.150,1.160,1.160
0.014,1.020,1.030,1.030,1.040,1.020,1.030,1.030,1.020,1.010,1.010,0.990,0.990,0.960,0.960,0.940
0.049,0.770,0.740,0.720,0.720,0.700,0.710,0.700,0.700,0.680,0.670,0.660,0.650,0.650,0.630,0.610
0.073,0.640,0.610,0.590,0.590,0.580,0.580,0.570,0.570,0.550,0.550,0.540,0.530,0.530,0.510,0.480
0.098,0.540,0.510,0.490,0.490,0.480,0.480,0.480,0.470,0.450,0.450,0.440,0.430,0.430,0.410,0.390
0.152,0.390,0.360,0.350,0.350,0.330,0.340,0.330,0.330,0.310,0.300,0.300,0.290,0.290,0.270,0.250
0.251,0.220,0.190,0.180,0.170,0.160,0.170,0.160,0.150,0.130,0.120,0.120,0.110,0.100,0.080,0.060
0.300,0.150,0.130,0.120,0.110,0.090,0.100,0.090,0.080,0.060,0.050,0.040,0.030,0.030,0.010,-0.030
0.351,0.110,0.080,0.070,0.060,0.040,0.050,0.040,0.030,0.000,-0.010,-0.010,-0.020,-0.030,-0.060,-0.090
0.403,0.080,0.050,0.040,0.030,0.010,0.020,0.010,0.000,-0.030,-0.040,-0.050,-0.060,-0.070,-0.100,-0.140
0.449,0.050,0.020,0.010,-0.010,-0.020,-0.020,-0.030,-0.030,-0.070,-0.080,-0.090,-0.100,-0.110,-0.150,-0.190
0.500,0.040,0.010,-0.010,-0.020,-0.040,-0.030,-0.040,-0.050,-0.080,-0.090,-0.110,-0.120,-0.130,-0.170,-0.210
0.549,0.030,0.000,-0.010,-0.020,-0.040,-0.030,-0.040,-0.050,-0.080,-0.090,-0.110,-0.120,-0.130,-0.160,-0.210
0.602,0.040,0.010,0.000,-0.010,-0.030,-0.020,-0.030,-0.040,-0.070,-0.080,-0.090,-0.110,-0.120,-0.150,-0.190
0.649,0.050,0.020,0.010,0.000,-0.020,-0.010,-0.020,-0.030,-0.060,-0.070,-0.080,-0.100,-0.110,-0.140,-0.180
0.701,0.060,0.030,0.020,0.010,-0.010,-0.010,-0.010,-0.020,-0.060,-0.060,-0.070,-0.090,-0.100,--,--
0.751,0.060,0.040,0.020,0.010,0.000,0.000,-0.010,-0.020,-0.050,-0.060,-0.070,-0.080,-0.090,-0.120,-0.160
0.801,0.070,0.040,0.030,0.010,0.000,0.000,-0.010,-0.020,-0.060,-0.060,-0.070,-0.090,-0.090,--,--
0.851,0.070,0.030,0.020,0.000,-0.010,-0.010,-0.010,--,--,--,--,--,-0.110,-0.150,-0.190
0.951,0.090,0.050,0.020,0.000,-0.010,-0.010,-0.020,-0.040,-0.080,-0.090,-0.120,-0.150,-0.150,-0.190,-0.230
