,0.31,0.42,0.53,0.54
0,-0.83,-0.86,-0.9,-0.89
0.006,-0.8,-0.83,-0.88,-0.87
0.013,-0.8,-0.83,-0.88,-0.87
0.025,-0.79,-0.83,-0.87,-0.87
0.05,-0.79,-0.83,-0.88,-0.87
0.075,-0.79,-0.84,-0.88,-0.87
0.1,-0.8,-0.84,-0.88,-0.87
0.15,-0.8,-0.84,-0.89,-0.87
0.2,-0.8,-0.84,-0.89,-0.88
0.25,-0.81,-0.85,-0.89,-0.88
0.298,-0.81,-0.85,-0.9,-0.89
0.352,-0.81,-0.86,-0.9,-0.89
0.4,-0.82,-0.87,-0.91,-0.9
0.45,-0.83,-0.88,-0.92,-0.91
0.5,-0.84,-0.88,-0.92,-0.91
0.551,-0.85,-0.88,-0.92,-0.91
0.6,-0.85,-0.89,-0.93,-0.92
0.651,-0.85,-0.89,-0.93,-0.92
0.701,-0.85,-0.9,-0.93,-0.93
0.752,-0.85,-0.9,-0.93,-0.92
0.802,-0.86,-0.9,-0.93,-0.92
0.852,-0.84,-0.88,-0.92,-0.9
0.902,-0.83,-0.87,-0.9,-0.9
0.947,-0.82,-0.86,-0.89,-0.88
1,-0.79,-0.83,-0.86,-0.86
