,0.31,0.41,0.51,0.56,0.61,0.63,0.66,0.68,0.71,0.73,0.76,0.78,0.81,0.84,0.86,0.89,0.92
0.013,-1.32,-1.4,-1.28,-1.19,-1.08,-1.07,-1.09,-1.15,-1.1,-1.17,-1.2,-1.25,-1.44,-1.4,-1.31,-1.22,-1.15
0.026,-0.48,-0.6,-0.82,-0.96,-1.03,-1.04,-1.04,-1.19,-1.08,-1.13,-1.2,-1.24,-1.3,-1.26,-1.2,-1.14,-1.05
0.05,-0.29,-0.32,-0.36,-0.43,-0.6,-0.65,-0.68,-0.73,-0.8,-0.82,-0.85,-1.02,-1.16,-1.1,-1.06,-1.01,-0.92
0.074,-0.2,-0.23,-0.24,-0.26,-0.34,-0.38,-0.41,-0.46,-0.54,-0.57,-0.51,-0.65,-1.05,-1.01,-0.97,-0.93,-0.85
0.101,-0.15,-0.18,-0.18,-0.18,-0.21,-0.22,-0.24,-0.28,-0.34,-0.36,-0.4,-0.4,-0.65,-0.93,-0.92,--,--
0.15,0,-0.13,-0.13,-0.14,-0.13,-0.13,-0.14,-0.16,-0.17,-0.18,-0.2,-0.2,-0.08,-0.45,-0.84,-0.82,-0.76
0.2,-0.08,-0.1,-0.1,-0.1,-0.1,-0.1,-0.11,-0.12,-0.13,-0.12,-0.13,-0.13,-0.06,-0.06,-0.78,--,--
0.252,-0.05,-0.08,-0.07,-0.07,-0.08,-0.09,-0.08,-0.1,-0.1,-0.09,-0.1,-0.09,-0.06,-0.02,-0.35,-0.78,-0.72
0.302,-0.03,-0.06,-0.06,-0.06,-0.06,-0.07,-0.07,-0.08,-0.09,-0.08,-0.07,-0.08,-0.06,-0.02,-0.08,--,--
0.352,-0.04,-0.06,-0.06,-0.06,-0.06,-0.07,-0.07,-0.08,-0.09,-0.08,-0.08,-0.08,-0.06,-0.05,-0.01,-0.7,-0.71
0.4,-0.02,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.06,-0.06,-0.05,-0.05,-0.06,-0.04,-0.04,0.01,--,--
0.451,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.02,-0.02,-0.02,0,0,0.03,-0.38,-0.73
0.501,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0.03,0.05,--,--
0.551,0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.06,-0.04,-0.66
0.601,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.09,--,--
0.652,0.06,0.06,0.08,0.08,0.08,0.1,0.07,0.08,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.1,-0.52
0.702,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.14,0.14,0.14,--,--
0.752,0.11,0.11,0.13,0.13,0.13,0.13,0.15,0.14,0.14,0.15,0.15,0.15,0.16,0.17,0.18,0.16,-0.3
0.801,0.13,0.13,0.14,0.15,0.15,0.15,0.17,0.16,0.16,0.16,0.17,0.17,0.19,0.2,0.19,--,--
0.851,0.13,0.12,0.13,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.16,0.18,0.19,0.18,0.17,-0.08
0.902,0.12,0.13,0.13,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.16,0.18,0.19,0.17,--,--
0.951,0.09,0.09,0.09,0.1,0.1,0.09,0.11,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.11,0.07,-0.05
