,0.32,0.42,0.53,0.55,0.58,0.6
0.95,-0.68,-0.67,-0.75,-0.75,-0.76,-0.78
0.9,-0.7,-0.69,-0.76,-0.76,-0.77,-0.79
0.85,-0.71,-0.7,-0.78,-0.78,-0.78,-0.8
0.8,-0.71,-0.7,-0.78,-0.78,-0.78,-0.81
0.75,-0.72,-0.71,-0.78,-0.78,-0.78,-0.81
0.7,-0.72,-0.71,-0.78,-0.78,-0.78,-0.81
0.65,-0.71,-0.71,-0.77,-0.78,-0.79,-0.81
0.6,-0.71,-0.7,-0.77,-0.78,-0.78,-0.8
0.55,-0.7,-0.7,-0.77,-0.77,-0.78,-0.8
0.5,-0.7,-0.7,-0.77,-0.76,-0.78,-0.79
0.45,-0.69,-0.69,-0.76,-0.76,-0.77,-0.79
0.4,-0.69,-0.69,-0.75,-0.75,-0.77,-0.78
0.35,-0.68,-0.68,-0.74,-0.75,-0.76,-0.78
0.3,-0.67,-0.67,-0.74,-0.75,-0.75,-0.77
0.25,-0.66,-0.67,-0.73,-0.73,-0.74,-0.77
0.2,-0.66,-0.67,-0.72,-0.73,-0.74,-0.76
0.15,-0.66,-0.66,-0.72,-0.73,-0.74,-0.76
0.1,-0.66,-0.66,-0.72,-0.73,-0.74,-0.76
0.075,-0.66,-0.66,-0.71,-0.72,-0.73,-0.76
0.025,-0.66,-0.66,-0.72,-0.73,-0.74,-0.77
0.013,-0.67,-0.67,-0.73,-0.73,-0.74,-0.77
0.005,-0.66,-0.67,-0.72,-0.73,-0.74,-0.76
0,-0.77,-0.76,-0.81,-0.82,-0.83,-0.85
0.005,0.67,0.7,0.72,0.73,0.75,0.76
0.013,0.95,0.97,1.01,1.02,1.03,1.04
0.025,1.01,1.03,1.06,1.08,1.08,1.1
0.05,0.92,0.94,0.98,0.99,0.99,1.01
0.075,0.81,0.84,0.88,0.89,0.89,0.91
0.1,0.75,0.77,0.81,0.83,0.83,0.85
0.15,0.65,0.67,0.71,0.72,0.73,0.75
0.2,0.56,0.58,0.62,0.63,0.63,0.65
0.25,0.5,0.52,0.55,0.57,0.57,0.59
0.3,0.42,0.43,0.47,0.48,0.49,0.51
0.35,0.36,0.37,0.4,0.41,0.42,0.44
0.4,0.3,0.31,0.34,0.36,0.36,0.38
0.45,0.25,0.26,0.29,0.31,0.31,0.33
0.5,0.22,0.22,0.25,0.27,0.27,0.29
0.55,0.19,0.2,0.22,0.24,0.24,0.26
0.6,0.16,0.17,0.19,0.21,0.21,0.23
0.7,0.1,0.11,0.12,0.15,0.15,0.17
0.75,0.07,0.07,0.09,0.12,0.11,0.13
0.8,0.03,0.04,0.06,0.08,0.08,0.1
0.85,-0.03,-0.02,-0.01,-0.01,0.01,0.03
0.95,-0.27,-0.28,-0.28,-0.26,-0.26,-0.25
