,0.31,0.42,0.51,0.54,0.57,0.59,0.61,0.64,0.67,0.69,0.72,0.75,0.77,0.8,0.84
1,-0.09,-0.13,-0.21,-0.22,-0.24,-0.28,-0.3,-0.22,-0.29,-0.36,-0.44,-0.42,-0.51,-0.59,-0.57
0.951,-0.12,-0.16,-0.24,-0.26,-0.28,-0.32,-0.34,-0.25,-0.32,-0.4,-0.49,-0.46,-0.56,-0.63,-0.6
0.849,-0.18,-0.22,-0.31,-0.33,-0.36,-0.4,-0.42,-0.31,-0.41,-0.5,-0.59,-0.57,-0.63,-0.67,-0.65
0.802,-0.21,-0.25,-0.34,-0.36,-0.39,-0.43,-0.46,-0.33,-0.43,-0.52,-0.61,-0.58,-0.64,-0.69,-0.67
0.751,-0.25,-0.28,-0.37,-0.4,-0.42,-0.47,-0.49,-0.36,-0.46,-0.56,-0.63,-0.6,-0.64,-0.68,-0.68
0.701,-0.29,-0.32,-0.42,-0.44,-0.46,-0.51,-0.53,-0.39,-0.5,-0.58,-0.65,-0.62,-0.64,-0.68,-0.7
0.649,-0.33,-0.36,-0.46,-0.48,-0.5,-0.55,-0.56,-0.43,-0.53,-0.61,-0.65,-0.63,-0.64,-0.67,-0.72
0.598,-0.38,-0.4,-0.5,-0.52,-0.54,-0.59,-0.6,-0.47,-0.56,-0.62,-0.65,-0.63,-0.62,-0.66,-0.74
0.549,-0.43,-0.45,-0.55,-0.57,-0.58,-0.63,-0.64,-0.5,-0.6,-0.64,-0.65,-0.64,-0.62,-0.66,-0.76
0.499,-0.5,-0.51,-0.61,-0.62,-0.67,-0.68,-0.68,-0.55,-0.63,-0.67,-0.65,-0.64,-0.6,-0.66,-0.8
0.4,-0.65,-0.65,-0.73,-0.72,-0.72,-0.75,-0.74,-0.67,-0.72,-0.71,-0.65,-0.64,-0.59,-0.67,-0.97
0.349,-0.75,-0.74,-0.8,-0.78,-0.78,-0.81,-0.78,-0.73,-0.78,-0.74,-0.65,-0.65,-0.59,-0.68,-1.09
0.301,-0.87,-0.84,-0.89,-0.85,-0.85,-0.86,-0.83,-0.82,-0.84,-0.76,-0.64,-0.65,-0.58,-0.71,-1.18
0.249,-1.03,-0.97,-0.97,-0.93,-0.92,-0.92,-0.87,-0.95,-0.91,-0.79,-0.64,-0.66,-0.58,-0.73,-1.23
0.199,-1.21,-1.12,-1.06,-1,-0.99,-0.98,-0.91,-1.11,-0.99,-0.82,-0.64,-0.67,-0.58,-0.75,-1.25
0.151,-1.4,-1.29,-1.14,-1.06,-1.05,-1.02,-0.94,-1.3,-1.08,-0.86,-0.63,-0.67,-0.57,-0.78,-1.29
0.101,-1.54,-1.45,-1.18,-1.1,-1.08,-1.05,-0.96,-1.49,-1.17,-0.9,-0.63,-0.68,-0.57,-0.79,-1.29
0.076,-1.57,-1.51,-1.18,-1.09,-1.09,-1.04,-0.95,-1.55,-1.2,-0.91,-0.63,-0.68,-0.57,-0.8,-1.31
0.051,-1.59,-1.55,-1.18,-1.11,-1.08,-1.05,-0.96,-1.63,-1.28,-0.95,-0.64,-0.69,-0.57,-0.84,-1.35
0.029,-1.57,-1.61,-1.18,-1.1,-1.1,-1.06,-0.96,-1.75,-1.4,-1.01,-0.65,-0.7,-0.57,-1.27,-1.34
0.005,-1.73,-2,-1.33,-1.22,-1.23,-1.17,-1.04,-1.82,-1.5,-1.05,-0.67,-0.86,-0.76,-1.08,0.93
0,-2.21,-2.34,-1.48,-1.33,-1.25,-1.16,-0.99,-1.08,-0.81,-0.57,-0.33,-0.26,-0.15,-0.02,0.12
0.005,0.9,0.94,1.03,1.05,1.07,1.08,1.1,1.09,1.11,1.15,1.14,1.15,1.16,1.16,1.18
0.014,1.02,1.03,1.03,1.05,1.05,1.05,1.05,1.06,1.05,1.07,1.03,1.04,1.03,1.02,1.02
0.049,0.76,0.76,0.74,0.75,0.74,0.74,0.74,0.75,0.74,0.75,0.71,0.73,0.71,0.7,0.7
0.073,0.64,0.64,0.62,0.62,0.62,0.61,0.61,0.62,0.61,0.62,0.59,0.61,0.59,0.587,0.58
0.098,0.54,0.54,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.52,0.49,0.51,0.49,0.48,0.48
0.152,0.4,0.39,0.37,0.38,0.38,0.36,0.37,0.38,0.37,0.37,0.35,0.37,0.35,0.33,0.34
0.251,0.22,0.21,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.15,0.18,0.15,0.13,0.15
0.3,0.15,0.14,0.12,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.07,0.09,0.07,0.04,0.06
0.351,0.1,0.09,0.07,0.07,0.06,0.04,0.05,0.06,0.05,0.04,0.01,0.03,0,-0.03,-0.02
0.403,0.07,0.05,0.03,0.04,0.03,0.01,0.01,0.02,0,-0.01,-0.03,-0.01,-0.04,-0.07,-0.07
0.449,0.03,0.02,-0.01,0,-0.01,-0.03,-0.03,-0.03,-0.04,-0.05,-0.08,-0.06,-0.09,-0.13,-0.13
0.5,0.01,0,-0.03,-0.02,-0.03,-0.06,-0.06,-0.05,-0.06,-0.08,-0.1,-0.09,-0.12,-0.16,-0.16
0.549,0,-0.01,-0.04,-0.03,-0.04,-0.07,-0.07,-0.06,-0.07,-0.08,-0.11,-0.09,-0.13,-0.17,-0.17
0.602,0.01,-0.01,-0.03,-0.03,-0.04,-0.06,-0.06,-0.05,-0.07,-0.08,-0.11,-0.09,-0.12,-0.16,-0.16
0.649,0.01,-0.01,-0.03,-0.03,-0.04,-0.06,-0.06,-0.05,-0.07,-0.08,-0.11,-0.09,-0.13,-0.16,-0.15
0.701,0.01,0,-0.03,-0.03,-0.04,-0.06,-0.06,-0.05,-0.07,-0.08,-0.11,-0.09,-0.12,--,--
0.751,0.01,-0.01,-0.03,-0.03,-0.04,-0.06,-0.06,-0.05,-0.07,-0.08,-0.11,-0.09,-0.13,-0.16,-0.15
0.801,0,0,-0.05,-0.04,-0.05,-0.08,-0.08,-0.06,-0.08,-0.1,-0.13,-0.11,-0.15,--,--
0.851,-0.01,-0.02,-0.07,-0.07,-0.08,-0.1,-0.11,-0.09,-0.11,-0.13,-0.16,-0.15,-0.19,-0.21,-0.2
0.951,-0.04,-0.05,-0.11,-0.12,-0.13,-0.16,-0.16,-0.13,-0.16,-0.2,-0.25,-0.23,--,-0.3,-0.27
