,0.31,0.41,0.51,0.56,0.61,0.64,0.66,0.69,0.71,0.74,0.76,0.79,0.81,0.84,0.87,0.9,0.92
1,0.17,0.17,0.18,0.19,0.2,0.22,0.21,0.23,0.22,0.23,0.24,0.25,0.23,0.19,0.11,0.04,-0.38
0.951,0.11,0.1,0.11,0.11,0.12,0.15,0.14,0.15,0.15,0.15,0.17,0.17,0.16,0.13,0.09,0.03,-0.49
0.849,0.04,0.03,0.03,0.03,0.04,0.05,0.04,0.05,0.05,0.05,0.06,0.06,0.05,0.04,0.02,-0.25,-0.6
0.802,0,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0,-0.4,-0.61
0.751,-0.05,-0.04,-0.03,-0.02,-0.02,0,-0.01,0,-0.01,-0.01,0,0,-0.01,-0.02,-0.02,-0.54,-0.63
0.701,-0.07,-0.08,-0.09,-0.09,-0.09,-0.07,-0.08,-0.06,-0.07,-0.06,-0.05,-0.04,-0.04,-0.05,-0.09,-0.59,-0.65
0.649,-0.1,-0.11,-0.12,-0.12,-0.13,-0.11,-0.13,-0.12,-0.14,-0.15,-0.15,-0.16,-0.18,-0.16,-0.39,-0.61,-0.65
0.598,-0.12,-0.14,-0.15,-0.15,-0.16,-0.14,-0.16,-0.15,-0.17,-0.17,-0.17,-0.19,-0.22,-0.28,-0.47,-0.63,-0.63
0.549,-0.15,-0.16,-0.17,-0.18,-0.19,-0.17,-0.19,-0.18,-0.2,-0.21,-0.21,-0.22,-0.25,-0.31,-0.49,-0.63,-0.61
0.499,-0.18,-0.2,-0.2,-0.21,-0.22,-0.21,-0.22,-0.22,-0.24,-0.25,-0.24,-0.27,-0.3,-0.36,-0.54,-0.6,-0.57
0.4,-0.19,-0.2,-0.22,-0.22,-0.23,-0.22,-0.23,-0.23,-0.25,-0.26,-0.26,-0.28,-0.32,-0.37,-0.46,-0.47,-0.44
0.349,-0.18,-0.2,-0.21,-0.21,-0.22,-0.2,-0.23,-0.22,-0.24,-0.25,-0.25,-0.27,-0.3,-0.35,-0.43,-0.44,-0.4
0.301,-0.18,-0.19,-0.2,-0.2,-0.22,-0.2,-0.22,-0.21,-0.23,-0.24,-0.24,-0.26,-0.28,-0.33,-0.38,-0.38,-0.34
0.249,-0.16,-0.17,-0.18,-0.18,-0.19,-0.17,-0.19,-0.18,-0.19,-0.2,-0.2,-0.21,-0.23,-0.26,-0.29,-0.29,-0.26
0.199,-0.12,-0.13,-0.14,-0.14,-0.15,-0.12,-0.14,-0.14,-0.15,-0.15,-0.15,-0.15,-0.17,-0.19,-0.22,-0.22,-0.18
0.151,-0.09,-0.08,-0.09,-0.09,-0.09,-0.07,-0.08,-0.07,-0.08,-0.08,-0.07,-0.07,-0.09,-0.1,-0.13,-0.13,-0.1
0.101,-0.01,-0.02,-0.02,-0.01,-0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0,-0.03,-0.02,0
0.076,0.04,0.04,0.04,0.05,0.05,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.09,0.08,0.05,0.05,0.07
0.051,0.1,0.1,0.11,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.16,0.16,0.15,0.13,0.11,0.1,0.12
0.029,0.19,0.19,0.21,0.2,0.23,0.26,0.25,0.27,0.26,0.27,0.29,0.29,0.27,0.25,0.22,0.2,0.22
0.005,0.78,0.81,0.83,0.84,0.86,0.88,0.89,0.9,0.9,0.9,0.91,0.91,0.9,0.88,0.84,0.82,0.83
0,0.76,0.77,0.82,0.84,0.88,0.89,0.9,0.93,0.94,-0.97,1,1.03,1.07,1.11,1.16,1.19,1.21
0.005,-0.39,-0.41,-0.39,-0.38,-0.35,-0.31,-0.3,-0.25,-0.22,-0.16,-0.1,-0.03,0.05,0.13,0.26,0.36,0.42
0.014,-0.71,-0.76,-0.79,-0.8,-0.82,-0.82,-0.84,-0.82,-0.82,-0.77,-0.71,-0.63,-0.54,-0.41,-0.29,-0.17,-0.09
0.049,-0.51,-0.54,-0.57,-0.58,-0.61,-0.6,-0.63,-0.63,-0.66,-0.67,-0.67,-0.66,-0.6,-0.42,-0.36,-0.26,-0.19
0.073,-0.47,-0.51,-0.54,-0.55,-0.58,-0.57,-0.6,-0.61,-0.64,-0.65,-0.65,-0.62,-0.57,-0.49,-0.4,-0.31,-0.25
0.098,-0.46,-0.49,-0.52,-0.53,-0.56,-0.56,-0.59,-0.6,-0.64,-0.66,-0.67,-0.65,-0.6,-0.53,-0.45,-0.36,-0.3
0.152,-0.43,-0.46,-0.49,-0.51,-0.54,-0.53,-0.57,-0.58,-0.62,-0.66,-0.71,-0.72,-0.68,-0.61,-0.53,-0.45,-0.38
0.251,-0.41,-0.44,-0.47,-0.49,-0.51,-0.51,-0.54,-0.56,-0.6,-0.64,-0.68,-0.79,-0.77,-0.71,-0.64,-0.56,-0.49
0.3,-0.41,-0.44,-0.47,-0.49,-0.52,-0.51,-0.54,-0.56,-0.6,-0.65,-0.69,-0.82,-0.82,-0.76,-0.69,-0.61,-0.54
0.351,-0.4,-0.43,-0.45,-0.47,-0.5,-0.49,-0.52,-0.54,-0.58,-0.62,-0.68,-0.85,-0.88,-0.83,-0.76,-0.68,-0.61
0.403,-0.37,-0.39,-0.42,-0.43,-0.46,-0.45,-0.48,-0.49,-0.53,-0.57,-0.63,-0.79,-0.86,-0.85,-0.8,-0.72,-0.66
0.449,-0.35,-0.38,-0.4,-0.41,-0.44,-0.43,-0.46,-0.46,-0.5,-0.53,-0.56,-0.77,-0.82,-0.81,-0.8,-0.75,-0.7
0.5,-0.32,-0.34,-0.36,-0.37,-0.39,-0.37,-0.4,-0.41,-0.43,-0.44,-0.42,-0.66,-0.82,-0.79,-0.77,-0.74,-0.75
0.549,-0.29,-0.3,-0.31,-0.31,-0.32,-0.31,-0.33,-0.32,-0.34,-0.34,-0.33,-0.28,-0.78,-0.79,-0.76,-0.72,-0.78
0.602,-0.22,-0.22,-0.24,-0.24,-0.25,-0.23,-0.25,-0.25,-0.26,-0.26,-0.25,-0.19,-0.42,-0.68,-0.74,-0.71,-0.79
0.649,-0.16,-0.18,-0.19,-0.19,-0.2,-0.18,-0.2,-0.19,-0.2,-0.2,-0.18,-0.15,-0.2,-0.45,-0.59,-0.67,-0.78
0.701,-0.12,-0.13,-0.14,-0.14,-0.15,-0.13,-0.14,-0.13,-0.14,-0.14,-0.13,-0.1,-0.09,-0.28,--,--,--
0.751,-0.08,-0.09,-0.1,-0.1,-0.1,-0.08,-0.09,-0.09,-0.08,-0.09,-0.07,-0.06,-0.03,-0.16,-0.3,-0.36,-0.76
0.801,-0.05,-0.05,-0.05,-0.05,-0.05,-0.03,-0.04,-0.03,-0.04,-0.03,-0.02,-0.01,0.02,-0.05,--,--,--
0.851,--,--,--,--,--,--,--,--,0,0.01,0,0.02,0.03,0.02,-0.09,-0.17,-0.62
0.951,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.14,0.07,-0.01,-0.43
