,0.310,0.410,0.510,0.560,0.610,0.640,0.660,0.690,0.710,0.730,0.760,0.790,0.820,0.840,0.870,0.890,0.930
0.005,0.650,0.660,0.680,0.700,0.710,0.730,0.730,0.740,0.750,0.760,0.770,0.780,0.790,0.780,0.760,0.750,0.770
0.014,0.210,0.220,0.240,0.250,0.260,0.270,0.270,0.280,0.280,0.300,0.310,0.320,0.330,0.320,0.310,0.290,0.320
0.049,0.010,0.000,0.010,0.020,0.020,0.040,0.020,0.030,0.030,0.050,0.060,0.070,0.080,0.080,0.070,0.070,0.110
0.073,-0.050,-0.060,-0.060,-0.050,-0.060,-0.040,-0.060,-0.050,-0.050,-0.040,-0.030,-0.020,-0.010,-0.010,-0.020,-0.020,0.020
0.098,-0.090,-0.110,-0.100,-0.100,-0.110,-0.090,-0.110,-0.110,-0.110,-0.100,-0.100,-0.090,-0.080,-0.090,-0.090,-0.090,-0.050
0.152,-0.140,-0.160,-0.160,-0.160,-0.170,-0.160,-0.180,-0.180,-0.190,-0.180,-0.180,-0.180,-0.180,-0.180,-0.190,-0.190,-0.140
0.251,-0.200,-0.220,-0.220,-0.230,-0.250,-0.240,-0.260,-0.260,-0.270,-0.270,-0.280,-0.300,-0.300,-0.320,-0.320,-0.320,-0.270
0.300,-0.230,-0.250,-0.250,-0.260,-0.280,-0.270,-0.300,-0.300,-0.310,-0.320,-0.330,-0.350,-0.370,-0.400,-0.400,-0.400,-0.340
0.351,-0.230,-0.260,-0.260,-0.270,-0.290,-0.280,-0.310,-0.310,-0.320,-0.330,-0.340,-0.370,-0.400,-0.470,-0.500,-0.480,-0.430
0.403,-0.230,-0.250,-0.250,-0.260,-0.280,-0.270,-0.300,-0.300,-0.310,-0.320,-0.330,-0.350,-0.390,-0.460,-0.550,-0.540,-0.480
0.449,-0.220,-0.240,-0.250,-0.260,-0.280,-0.270,-0.290,-0.300,-0.310,-0.310,-0.330,-0.350,-0.380,-0.430,-0.580,-0.590,-0.530
0.500,-0.200,-0.230,-0.230,-0.240,-0.250,-0.250,-0.270,-0.270,-0.280,-0.280,-0.300,-0.310,-0.340,-0.390,-0.570,-0.650,-0.590
0.549,-0.180,-0.200,-0.200,-0.210,-0.220,-0.210,-0.230,-0.230,-0.240,-0.240,-0.250,-0.270,-0.300,-0.350,-0.530,-0.680,-0.640
0.602,-0.140,-0.160,-0.160,-0.170,-0.180,-0.180,-0.200,-0.200,-0.210,-0.210,-0.220,-0.240,-0.250,-0.250,-0.510,-0.660,-0.660
0.649,-0.110,-0.130,-0.130,-0.140,-0.150,-0.150,-0.170,-0.160,-0.170,-0.160,-0.160,-0.140,-0.110,-0.080,-0.290,-0.640,-0.670
0.701,-0.090,-0.100,-0.080,-0.080,-0.070,-0.060,-0.070,-0.060,-0.060,-0.050,-0.050,-0.050,-0.050,-0.050,-0.060,--,--
0.751,-0.040,-0.040,-0.030,-0.030,-0.030,-0.020,-0.040,-0.030,-0.030,-0.030,-0.020,-0.020,-0.020,-0.020,0.010,-0.550,-0.670
0.801,0.000,-0.010,0.000,0.000,-0.010,0.010,-0.010,0.000,0.000,0.010,0.010,0.010,0.020,0.020,0.040,--,--
0.951,0.100,0.090,0.110,0.120,0.120,0.130,0.120,0.130,0.130,0.140,0.140,0.150,0.160,0.160,0.130,0.110,-0.540
