,0.32,0.42,0.53
0,-0.9,-0.88,-0.91
0.006,-0.89,-0.87,-0.89
0.013,-0.88,-0.86,-0.89
0.025,-0.88,-0.86,-0.89
0.05,-0.88,-0.86,-0.89
0.075,-0.88,-0.87,-0.9
0.1,-0.89,-0.87,-0.89
0.15,-0.89,-0.87,-0.9
0.2,-0.9,-0.87,-0.91
0.25,-0.9,-0.88,-0.91
0.298,-0.91,-0.88,-0.92
0.35,-0.91,-0.89,-0.92
0.4,-0.92,-0.89,-0.93
0.45,-0.93,-0.9,-0.94
0.5,-0.93,-0.9,-0.94
0.551,-0.94,-0.9,-0.95
0.6,-0.94,-0.91,-0.95
0.651,-0.94,-0.91,-0.95
0.701,-0.95,-0.92,-0.96
0.752,-0.94,-0.91,-0.95
0.802,-0.94,-0.91,-0.95
0.852,-0.92,-0.9,-0.93
0.902,-0.91,-0.89,-0.92
0.947,-0.9,-0.88,-0.92
1,-0.88,-0.86,-0.89
