	1.40E-01
0.948084054	-0.207772795
0.91223733	-0.279521674
0.873918418	-0.30941704
0.8368356	-0.339312407
0.798516687	-0.428998505
0.765142151	-0.476831091
0.726823239	-0.524663677
0.671199011	-0.58445441
0.599505562	-0.668161435
0.522867738	-0.75186846
0.477132262	-0.80568012
0.44499382	-0.829596413
0.411619283	-0.847533632
0.368355995	-0.895366218
0.337453646	-0.913303438
0.307787392	-0.943198804
0.278121137	-0.985052317
0.248454883	-1.068759342
0.218788628	-1.188340807
0.189122373	-1.391629297
0.091470952	-2.240657698
0.075401731	-2.306427504
0.066749073	-2.348281016
0.055624227	-2.372197309
0.04697157	-2.378176383
0.03461063	-2.366218236
0.022249691	-2.330343797
0.012360939	-2.31838565
0.016069221	0.868460389
0.033374536	0.790732436
0.061804697	0.647234679
0.080346106	0.593423019
0.110012361	0.509715994
0.208899876	0.342301943
0.260815822	0.276532138
0.317676143	0.210762332
0.394313968	0.168908819
0.505562423	0.103139013
0.616810878	0.07922272
0.726823239	0.073243647
0.856613103	0.109118087
0.929542645	0.109118087
