,0.15
0.99,-0.517898037
0.95,-0.617754175
0.9,-0.618460371
0.85,-0.661719931
0.8,-0.690795036
0.75,-0.762423504
0.7,-0.507789344
0.65,-0.735487164
0.6,-0.736193361
0.55,-0.60921929
0.5,-0.723421298
0.45,-0.724127495
0.4,-0.71068959
0.35,-0.725560064
0.3,-0.68369272
0.25,-0.812079183
0.2,-0.770232016
0.15,-1.40923866
0.1,-2.005691941
0.075,-1.90674377
0.06,-2.006216544
0.05,-2.332620411
0.035,-2.744131005
0.022,-3.850720219
0.015,-5.212528727
0.012,-5.652327522
0.005,-7.269436032
0.002,-8.801437815
0,
0.007,
0.015,0.617282033
0.075,0.887593748
0.1,0.845423748
0.15,0.704224869
0.2,0.534757966
0.25,0.351046078
0.3,0.32342372
0.35,0.168121094
0.4,0.182991568
0.45,0.056037675
0.5,-0.014138047
0.55,-0.013472205
0.6,-0.027010994
0.65,-0.111391348
0.7,-0.096460343
0.75,
0.8,-0.066679042
0.85,-0.236166122
0.9,-0.24964438
0.95,-0.220589452
0.99,-0.418606857
