,0.76
0.9501,-0.0674
0.9002,-0.1747
0.8002,-0.2968
0.75,-0.3768
0.7,-0.669
0.65,-1.1534
0.6002,-1.1783
0.5502,-1.1839
0.5002,-1.2154
0.4501,-1.2431
0.4003,-1.2299
0.3502,-1.2128
0.3001,-1.1947
0.2503,-1.1721
0.2003,-1.1518
0.1507,-1.155
0.1003,-1.1459
0.0759,-1.1278
0.0259,-0.8849
0.0132,-0.501
0,1.1494
0,1.1494
0.0126,0.6669
0.0255,0.4818
0.0495,0.2914
0.0753,0.1826
0.1002,0.1026
0.1503,0.0027
0.1976,-0.0958
0.2503,-0.1644
0.3001,-0.2098
0.3507,-0.2402
0.4001,-0.2469
0.4501,-0.2321
0.5001,-0.1903
0.5497,-0.1029
0.6003,0.0078
0.65,0.0926
0.7,0.1942
0.7501,0.2895
0.8001,0.372
0.8501,0.4496
