,0.5,0.65,0.7
0.9501,-0.0998,-0.0873,-0.0896
0.9002,-0.22,-0.2135,-0.2138
0.8002,-0.4011,-0.4253,-0.418
0.75,-0.4716,-0.5135,-0.5006
0.7,-0.5259,-0.5823,-0.5586
0.65,-0.5625,-0.6314,-0.5852
0.6002,-0.565,-0.6611,-0.5838
0.5502,-0.6021,-0.676,-0.5693
0.5002,-0.6133,-0.6907,-0.5982
0.4501,-0.6315,-0.7071,-0.7184
0.4003,-0.649,-0.7266,-1.0132
0.3502,-0.6606,-0.7465,-1.5266
0.3001,-0.7259,-0.7555,-1.5593
0.2503,-0.7662,-0.7366,-1.5494
0.2003,-0.8306,-0.8535,-1.5707
0.1507,-0.9192,-1.7494,-1.5924
0.1003,-1.1085,-1.8596,-1.6384
0.0759,-1.2048,-1.8984,-1.6514
0.0259,-1.9421,-1.7363,-1.4343
0.0132,-1.9978,-1.3685,-1.0762
0,0.6977,0.9377,1.0087
0,0.6977,0.9377,1.0087
0.0126,0.8864,0.8605,0.8438
0.0255,0.6844,0.6635,0.6505
0.0495,0.4858,0.482,0.4723
0.0753,0.3327,0.3368,0.3322
0.1002,0.2621,0.2464,0.242
0.1503,0.1598,0.141,0.1369
0.1976,0.0679,0.0442,0.0371
0.2503,0.0047,-0.0213,-0.0314
0.3001,-0.0369,-0.066,-0.0762
0.3507,-0.0679,-0.1007,-0.1134
0.4001,-0.0806,-0.1161,-0.1299
0.4501,-0.0892,-0.1187,-0.1311
0.5001,-0.067,-0.094,-0.1045
0.5497,-0.0162,-0.0332,-0.0386
0.6003,0.047,0.0406,0.0402
0.65,0.0991,0.1041,0.1092
0.7,0.1823,0.1924,0.2002
0.7501,0.2503,0.2643,0.2843
0.8001,0.3252,0.3471,0.3599
0.8501,0.3903,0.4149,0.4291
