,0.5,0.6,0.65,0.7
0.9501,-0.0905,-0.087,-0.0804,-0.0668
0.9002,-0.1945,-0.2017,-0.2024,-0.1945
0.8002,-0.3363,-0.3636,-0.3789,-0.3895
0.75,-0.3863,-0.4216,-0.4445,-0.4656
0.7,-0.4176,-0.4588,-0.4871,-0.5179
0.65,-0.4353,-0.4794,-0.5105,-0.5467
0.6002,-0.4372,-0.4812,-0.5132,-0.5514
0.5502,-0.4342,-0.4774,-0.5042,-0.5403
0.5002,-0.4236,-0.4666,-0.4948,-0.529
0.4501,-0.4161,-0.4588,-0.4871,-0.5217
0.4003,-0.4089,-0.4514,-0.4819,-0.5154
0.3502,-0.4108,-0.4514,-0.4808,-0.512
0.3001,-0.41,-0.4567,-0.4832,-0.5113
0.2503,-0.4117,-0.4517,-0.4756,-0.5013
0.2003,-0.4081,-0.4414,-0.472,-0.5012
0.1507,-0.4089,-0.4496,-0.4779,-0.4962
0.1003,-0.4384,-0.4702,-0.488,-0.5014
0.0759,-0.4552,-0.4879,-0.5047,-0.5136
0.0259,-0.4105,-0.4097,-0.3946,-0.3531
0.0132,-0.1367,-0.0982,-0.06,-0.0006
0,1.0298,1.0564,1.0696,1.0825
0,1.0298,1.0564,1.0696,1.0825
0.0126,0.1115,0.1214,0.1256,0.1219
0.0255,-0.0069,-0.0044,-0.0032,-0.0072
0.0495,-0.122,-0.131,-0.1171,-0.1293
0.0753,-0.1568,-0.176,-0.1842,-0.1983
0.1002,-0.1978,-0.2161,-0.2283,-0.2472
0.1503,-0.225,-0.2496,-0.2635,-0.2863
0.1976,-0.2812,-0.312,-0.332,-0.3627
0.2503,-0.3024,-0.3362,-0.3584,-0.3968
0.3001,-0.3144,-0.3449,-0.3736,-0.4114
0.3507,-0.3177,-0.3538,-0.3784,-0.4162
0.4001,-0.3031,-0.3385,-0.3616,-0.397
0.4501,-0.2842,-0.3136,-0.3313,-0.3602
0.5001,-0.235,-0.2593,-0.2713,-0.2924
0.5497,-0.1578,-0.1725,-0.1709,-0.1902
0.6003,-0.07,-0.0766,-0.0774,-0.0809
0.65,0.0031,0.0051,0.0105,0.0136
0.7,0.1023,0.1096,0.115,0.1216
0.7501,0.1911,0.2019,0.2046,0.2161
0.8001,0.2654,0.2797,0.2864,0.2958
0.8501,0.3327,0.3484,0.3569,0.3636
