,0.76
0.9501,-0.0521
0.9002,-0.1834
0.8002,-0.3879
0.75,-0.4732
0.7,-0.5329
0.65,-0.5608
0.6002,-0.5415
0.5502,-0.5091
0.5002,-0.4731
0.4501,-0.4455
0.4003,-0.4174
0.3502,-0.3912
0.3001,-0.3686
0.2503,-0.3315
0.2003,-0.2934
0.1507,-0.2638
0.1003,-0.2069
0.0759,-0.1738
0.0259,0.1455
0.0132,0.4854
0,0.8804
0,0.8804
0.0126,-0.4205
0.0255,-0.4558
0.0495,-0.5333
0.0753,-0.5603
0.1002,-0.6117
0.1503,-0.5866
0.1976,-0.6787
0.2503,-0.7693
0.3001,-0.8261
0.3507,-0.7822
0.4001,-0.5557
0.4501,-0.4823
0.5001,-0.383
0.5497,-0.2501
0.6003,-0.1187
0.65,-0.0065
0.7,0.1102
0.7501,0.2118
0.8001,0.2941
0.8501,0.3644
