,0.5,0.6
0.9501,-0.0818,-0.0764
0.9002,-0.1734,-0.1801
0.8002,-0.2895,-0.3121
0.75,-0.3262,-0.3545
0.7,-0.3442,-0.3761
0.65,-0.3497,-0.3818
0.6002,-0.339,-0.3691
0.5502,-0.3239,-0.3514
0.5002,-0.3006,-0.3265
0.4501,-0.2788,-0.3031
0.4003,-0.258,-0.2799
0.3502,-0.2413,-0.2583
0.3001,-0.2278,-0.2461
0.2503,-0.1995,-0.2155
0.2003,-0.1623,-0.1764
0.1507,-0.1194,-0.1313
0.1003,-0.0793,-0.08
0.0759,-0.0396,-0.0374
0.0259,0.2367,0.2584
0.0132,0.5496,0.5816
0,0.4877,0.5567
0,0.4877,0.5567
0.0126,-0.8227,-0.8592
0.0255,-0.6715,-0.7175
0.0495,-0.6334,-0.6955
0.0753,-0.5781,-0.6355
0.1002,-0.5781,-0.637
0.1503,-0.5307,-0.5895
0.1976,-0.5486,-0.6131
0.2503,-0.5317,-0.5952
0.3001,-0.5169,-0.5775
0.3507,-0.4962,-0.5553
0.4001,-0.4596,-0.5125
0.4501,-0.4193,-0.4619
0.5001,-0.3493,-0.3821
0.5497,-0.2537,-0.2742
0.6003,-0.1497,-0.1594
0.65,-0.0606,-0.0601
0.7,0.0482,0.0522
0.7501,0.1432,0.1489
0.8001,0.2201,0.2266
0.8501,0.2857,0.2913
