,0.5,0.7
0.9501,-0.1063,1
0.9002,-0.2205,1
0.8002,-0.3926,1
0.75,-0.4584,-0.0704
0.7,-0.5061,-0.2048
0.65,-0.5392,"⑉,4222"
0.6002,-0.5566,-0.5195
0.5502,-0.5684,⑉.6404
0.5002,-0.576,-......
0.4501,-0.5882,-0.4703
0.4003,-0.6011,.......
0.3502,-0.6245,-0.6835
0.3001,-0.6604,⑉.9790
0.2503,-0.69,-0.7373
0.2003,-0.7357,-1.2929
0.1507,-0.7963,-1.3722
0.1003,-0.9382,-1.4532
0.0759,-1.0546,-1.4004
0.0259,-1.5491,-1.2923
0.0132,-1.474,-0.4595
0,0.8924,1.0011
0,0.8924,1.0811
0.0126,0.7662,0.234
0.0255,0.5588,0.15
0.0495,0.3627,0.0504
0.0753,0.2385,-0.0449
0.1002,0.139,-0.1007
0.1503,0.064,-0.1501
0.1976,-0.0222,0.0925
0.2503,-0.078,0.2755
0.3001,-0.1132,0.3547
0.3507,-0.117,0.4278
0.4001,-0.1451,1
0.4501,-0.1439,1
0.5001,-0.1188,1
0.5497,-0.0614,1
0.6003,0.0146,1
0.65,0.0741,1
0.7,0.1597,1
0.7501,0.2391,1
0.8001,0.3105,1
0.8501,0.38,1
