,0.5
0.9501,-0.1074
0.9002,-0.2096
0.8002,-0.3498
0.75,-0.399
0.7,-0.4301
0.65,-0.4468
0.6002,-0.4473
0.5502,-0.4431
0.5002,-0.4333
0.4501,-0.4254
0.4003,-0.4188
0.3502,-0.4178
0.3001,-0.4247
0.2503,-0.4211
0.2003,-0.4179
0.1507,-0.4209
0.1003,-0.471
0.0759,-0.4977
0.0259,-0.4335
0.0132,-0.1615
0,1.0348
0,1.0348
0.0126,0.1184
0.0255,-0.0011
0.0495,-0.1206
0.0753,-0.1699
0.1002,-0.207
0.1503,-0.2404
0.1976,-0.2734
0.2503,-0.3129
0.3001,-0.3227
0.3507,-0.3254
0.4001,-0.3118
0.4501,-0.2899
0.5001,-0.2425
0.5497,-0.1626
0.6003,-0.0729
0.65,0.0039
0.7,0.1031
0.7501,0.1943
0.8001,0.2744
0.8501,0.3491
