,0.747
1,0.304
0.9784,0.23
0.9479,0.179
0.9184,0.116
0.8786,0.031
0.8385,-0.068
0.7982,-0.179
0.7494,-0.307
0.6993,-0.45
0.6493,-0.574
0.5993,-0.745
0.5493,-0.884
0.4996,-0.905
0.4492,-0.96
0.3993,-0.988
0.3497,-1.012
0.2998,-1.03
0.2498,-1.057
0.1995,-1.071
0.1649,-1.093
0.13,-1.126
0.0998,-1.156
0.0748,-1.181
0.06,-1.152
0.0499,-1.13
0.0397,-1.099
0.0299,-1.091
0.0207,-0.599
0.0124,0.059
0.0033,0.854
0,1.145
0.0018,0.929
0.0079,0.42
0.018,-0.094
0.037,-0.384
0.065,-0.451
0.1,-0.504
0.13,-0.504
0.1649,-0.536
0.2,-0.561
0.2499,-0.609
0.2998,-0.631
0.3499,-0.62
0.3999,-0.66
0.4497,-0.644
0.4998,-0.569
0.5496,-0.336
0.5996,-0.116
0.6393,-0.063
0.6791,0.057
0.7193,0.156
0.7597,0.238
0.7994,0.318
0.8377,0.381
0.8785,0.404
0.9188,0.415
0.9487,0.42
0.9781,0.377
