,0.748
1,0.098
0.9784,-0.049
0.9479,-0.069
0.9184,-0.092
0.8786,-0.139
0.8385,-0.175
0.7982,-0.224
0.7494,-0.292
0.6993,-0.386
0.6493,-0.5
0.5993,-0.688
0.5493,-1.135
0.4996,-1.302
0.4492,-1.311
0.3993,-1.351
0.3497,-1.369
0.2998,-1.366
0.2498,-1.367
0.1995,-1.376
0.1649,-1.389
0.13,-1.412
0.0998,-1.437
0.0748,-1.469
0.06,-1.483
0.0499,-1.464
0.0397,-1.403
0.0299,-1.332
0.0207,-0.844
0.0124,-0.176
0.0033,0.686
0,1.12
0.0018,1.0707
0.0079,0.716
0.018,0.294
0.037,0.021
0.065,-0.088
0.1,-0.176
0.13,-0.207
0.1649,-0.261
0.2,-0.302
0.2499,-0.364
0.2998,-0.415
0.3499,-0.442
0.3999,-0.514
0.4497,-0.533
0.4998,-0.464
0.5496,-0.361
0.5996,-0.153
0.6393,-0.073
0.6791,0.037
0.7193,0.125
0.7597,0.202
0.7994,0.28
0.8377,0.34
0.8785,0.36
0.9188,0.355
0.9487,0.334
0.9781,0.245
