,0.75
1,0.167
0.9784,0.154
0.9479,0.11
0.9184,0.055
0.8786,-0.02
0.8385,-0.105
0.7982,-0.177
0.7494,-0.505
0.6993,-0.579
0.6493,-0.61
0.5993,-0.666
0.5493,-0.646
0.4996,-0.615
0.4492,-0.567
0.3993,-0.52
0.3497,-0.486
0.2998,-0.44
0.2498,-0.405
0.1995,-0.362
0.1649,-0.336
0.13,-0.299
0.0998,-0.262
0.0748,-0.293
0.06,-0.289
0.0499,-0.289
0.0397,-0.201
0.0299,-0.161
0.0207,0.053
0.0124,0.568
0.0033,1.082
0,1.064
0.0018,0.546
0.0079,-0.17
0.018,-0.839
0.037,-1.151
0.065,-1.236
0.1,-1.279
0.13,-1.259
0.1649,-1.24
0.2,-1.234
0.2499,-1.252
0.2998,-1.165
0.3499,-1.226
0.3999,-1.136
0.4497,-0.711
0.4998,-0.512
0.5496,-0.345
0.5996,-0.235
0.6393,-0.152
0.6791,-0.109
0.7193,-0.041
0.7597,-0.008
0.7994,0.032
0.8377,0.077
0.8785,0.112
0.9188,0.147
0.9487,0.164
0.9781,0.179
