,0.82
0.9914,0.289
0.9198,0.162
0.8593,0.033
0.7993,-0.072
0.739,-0.154
0.6792,-0.213
0.6193,-0.243
0.5593,-0.224
0.4997,-0.514
0.4492,-0.654
0.3992,-0.699
0.3496,-0.729
0.2996,-0.726
0.2491,-0.721
0.1994,-0.722
0.1493,-0.732
0.0992,-0.762
0.0745,-0.796
0.0492,-0.839
0.0342,-0.868
0.0198,-0.876
0.0094,0.044
0.0046,0.656
0.0013,1.019
0,1.183
0.0019,0.972
0.0056,0.582
0.0108,-0.157
0.0251,-0.855
0.0499,-0.808
0.0999,-0.721
0.15,-0.686
0.2008,-0.674
0.2998,-0.699
0.3998,-0.696
0.4999,-0.629
0.601,-0.235
0.6999,-0.196
0.7995,-0.071
0.8997,0.114
