,0.5
0.9914,0.185
0.9198,0.081
0.8593,-0.02
0.7993,-0.096
0.739,-0.153
0.6792,-0.196
0.6193,-0.231
0.5593,-0.257
0.4997,-0.28
0.4492,-0.297
0.3992,-0.312
0.3496,-0.328
0.2996,-0.345
0.2491,-0.36
0.1994,-0.376
0.1493,-0.428
0.0992,-0.473
0.0745,-0.525
0.0492,-0.637
0.0342,-0.746
0.0198,-0.936
0.0094,-0.37
0.0046,0.394
0.02,-0.937
0.0013,0.857
0,1.064
0.0019,0.794
0.0056,0.295
0.0108,-0.62
0.0251,-0.839
0.0499,-0.622
0.0999,-0.469
0.15,-0.421
0.2008,-0.374
0.2998,-0.342
0.3998,-0.322
0.4999,-0.28
0.601,-0.242
0.6999,-0.184
0.7995,-0.096
0.8997,0.043
